{'loss': 2.1071105003356934, 'cancer_mean': 0.7116985321044922, 'tissue_mean': 0.8013117909431458, 'ad_mean': 0.5336321592330933, 'reconstruct_mean': 0.06046808883547783}
{'loss': 2.0991251468658447, 'cancer_mean': 0.7099758386611938, 'tissue_mean': 0.7987052202224731, 'ad_mean': 0.5324994921684265, 'reconstruct_mean': 0.0579446442425251}
{'loss': 2.1042041778564453, 'cancer_mean': 0.709107518196106, 'tissue_mean': 0.8009968996047974, 'ad_mean': 0.5331504940986633, 'reconstruct_mean': 0.0609494224190712}
{'loss': 2.0982718467712402, 'cancer_mean': 0.7068291306495667, 'tissue_mean': 0.8005715608596802, 'ad_mean': 0.5329449772834778, 'reconstruct_mean': 0.05792626738548279}
{'loss': 2.0884437561035156, 'cancer_mean': 0.6966003775596619, 'tissue_mean': 0.7985892295837402, 'ad_mean': 0.533321738243103, 'reconstruct_mean': 0.05993213877081871}
{'loss': 2.0873286724090576, 'cancer_mean': 0.6955952048301697, 'tissue_mean': 0.7991383671760559, 'ad_mean': 0.5323419570922852, 'reconstruct_mean': 0.06025318056344986}
{'loss': 2.1010780334472656, 'cancer_mean': 0.7051672339439392, 'tissue_mean': 0.8002945184707642, 'ad_mean': 0.5359088182449341, 'reconstruct_mean': 0.0597076490521431}
{'loss': 2.096494436264038, 'cancer_mean': 0.7019972205162048, 'tissue_mean': 0.7998809814453125, 'ad_mean': 0.5356165170669556, 'reconstruct_mean': 0.058999717235565186}
{'loss': 2.086796760559082, 'cancer_mean': 0.6926138401031494, 'tissue_mean': 0.7991193532943726, 'ad_mean': 0.5348557829856873, 'reconstruct_mean': 0.06020777300000191}
{'loss': 2.0816407203674316, 'cancer_mean': 0.687309980392456, 'tissue_mean': 0.7982849478721619, 'ad_mean': 0.5360698103904724, 'reconstruct_mean': 0.05997588112950325}
{'loss': 2.0838887691497803, 'cancer_mean': 0.6889826059341431, 'tissue_mean': 0.799665629863739, 'ad_mean': 0.5356923937797546, 'reconstruct_mean': 0.05954822897911072}
{'loss': 2.0809168815612793, 'cancer_mean': 0.6887604594230652, 'tissue_mean': 0.796099066734314, 'ad_mean': 0.5362227559089661, 'reconstruct_mean': 0.05983472615480423}
{'loss': 2.0763988494873047, 'cancer_mean': 0.6838816404342651, 'tissue_mean': 0.7984318733215332, 'ad_mean': 0.5343813300132751, 'reconstruct_mean': 0.059704046696424484}
{'loss': 2.0766329765319824, 'cancer_mean': 0.6809214949607849, 'tissue_mean': 0.7978930473327637, 'ad_mean': 0.5372604727745056, 'reconstruct_mean': 0.060557909309864044}
{'loss': 2.0707168579101562, 'cancer_mean': 0.6825255155563354, 'tissue_mean': 0.7957271933555603, 'ad_mean': 0.5345871448516846, 'reconstruct_mean': 0.057876985520124435}
{'loss': 2.072220802307129, 'cancer_mean': 0.6757142543792725, 'tissue_mean': 0.7983059883117676, 'ad_mean': 0.5370806455612183, 'reconstruct_mean': 0.061120063066482544}
{'loss': 2.0606439113616943, 'cancer_mean': 0.6706914901733398, 'tissue_mean': 0.7949908375740051, 'ad_mean': 0.5370203852653503, 'reconstruct_mean': 0.057941265404224396}
{'loss': 2.0682294368743896, 'cancer_mean': 0.6764358878135681, 'tissue_mean': 0.7952286601066589, 'ad_mean': 0.535905659198761, 'reconstruct_mean': 0.060659121721982956}
{'loss': 2.071577548980713, 'cancer_mean': 0.6776571273803711, 'tissue_mean': 0.7948232293128967, 'ad_mean': 0.5395107865333557, 'reconstruct_mean': 0.05958661064505577}
{'loss': 2.062697649002075, 'cancer_mean': 0.6701256632804871, 'tissue_mean': 0.7949779033660889, 'ad_mean': 0.5378531813621521, 'reconstruct_mean': 0.05974080041050911}
{'loss': 2.048530101776123, 'cancer_mean': 0.6582955718040466, 'tissue_mean': 0.7926875948905945, 'ad_mean': 0.5382583141326904, 'reconstruct_mean': 0.05928864702582359}
{'loss': 2.0663905143737793, 'cancer_mean': 0.6706526875495911, 'tissue_mean': 0.798508882522583, 'ad_mean': 0.5365137457847595, 'reconstruct_mean': 0.060715194791555405}
{'loss': 2.064300298690796, 'cancer_mean': 0.6698957681655884, 'tissue_mean': 0.794008731842041, 'ad_mean': 0.5399270057678223, 'reconstruct_mean': 0.060468804091215134}
{'loss': 2.0562469959259033, 'cancer_mean': 0.6626517176628113, 'tissue_mean': 0.7954521179199219, 'ad_mean': 0.5387058854103088, 'reconstruct_mean': 0.059437211602926254}
{'loss': 2.048830509185791, 'cancer_mean': 0.659164309501648, 'tissue_mean': 0.7905872464179993, 'ad_mean': 0.5391442179679871, 'reconstruct_mean': 0.059934645891189575}
{'loss': 2.0539584159851074, 'cancer_mean': 0.6592274308204651, 'tissue_mean': 0.7942424416542053, 'ad_mean': 0.5397099852561951, 'reconstruct_mean': 0.060778629034757614}
{'loss': 2.0519909858703613, 'cancer_mean': 0.6564195156097412, 'tissue_mean': 0.7946699261665344, 'ad_mean': 0.5405304431915283, 'reconstruct_mean': 0.06037114933133125}
{'loss': 2.0503697395324707, 'cancer_mean': 0.656693160533905, 'tissue_mean': 0.7928101420402527, 'ad_mean': 0.5415089130401611, 'reconstruct_mean': 0.059357501566410065}
{'loss': 2.049323320388794, 'cancer_mean': 0.6577016115188599, 'tissue_mean': 0.792417585849762, 'ad_mean': 0.5411677360534668, 'reconstruct_mean': 0.058036305010318756}
{'loss': 2.0468876361846924, 'cancer_mean': 0.6508789658546448, 'tissue_mean': 0.7931162714958191, 'ad_mean': 0.5432156920433044, 'reconstruct_mean': 0.05967658758163452}
{'loss': 2.045515537261963, 'cancer_mean': 0.650543749332428, 'tissue_mean': 0.792259156703949, 'ad_mean': 0.5423335433006287, 'reconstruct_mean': 0.060379039496183395}
{'loss': 2.043973922729492, 'cancer_mean': 0.6493075489997864, 'tissue_mean': 0.7919567823410034, 'ad_mean': 0.5421173572540283, 'reconstruct_mean': 0.060592133551836014}
{'loss': 2.0412039756774902, 'cancer_mean': 0.6466087698936462, 'tissue_mean': 0.7918332815170288, 'ad_mean': 0.5423324108123779, 'reconstruct_mean': 0.06042960286140442}
{'loss': 2.042210340499878, 'cancer_mean': 0.645352303981781, 'tissue_mean': 0.7933871746063232, 'ad_mean': 0.5417627692222595, 'reconstruct_mean': 0.061708010733127594}
{'loss': 2.0362260341644287, 'cancer_mean': 0.6430787444114685, 'tissue_mean': 0.7911109328269958, 'ad_mean': 0.5417221784591675, 'reconstruct_mean': 0.06031426414847374}
{'loss': 2.0289463996887207, 'cancer_mean': 0.6334490180015564, 'tissue_mean': 0.7936776280403137, 'ad_mean': 0.541898787021637, 'reconstruct_mean': 0.059921056032180786}
{'loss': 2.0258467197418213, 'cancer_mean': 0.6320556402206421, 'tissue_mean': 0.7906450033187866, 'ad_mean': 0.543681800365448, 'reconstruct_mean': 0.05946428328752518}
{'loss': 2.0311989784240723, 'cancer_mean': 0.6398674845695496, 'tissue_mean': 0.7878143787384033, 'ad_mean': 0.5432701706886292, 'reconstruct_mean': 0.060247063636779785}
{'loss': 2.0281755924224854, 'cancer_mean': 0.6309565305709839, 'tissue_mean': 0.7917332649230957, 'ad_mean': 0.5465583801269531, 'reconstruct_mean': 0.05892747640609741}
{'loss': 2.0184428691864014, 'cancer_mean': 0.6248041391372681, 'tissue_mean': 0.7900679707527161, 'ad_mean': 0.5441846251487732, 'reconstruct_mean': 0.05938602238893509}
{'loss': 2.016975164413452, 'cancer_mean': 0.6253203749656677, 'tissue_mean': 0.7879680395126343, 'ad_mean': 0.5442923903465271, 'reconstruct_mean': 0.059394270181655884}
{'loss': 2.0223429203033447, 'cancer_mean': 0.6260585784912109, 'tissue_mean': 0.7923583388328552, 'ad_mean': 0.544590950012207, 'reconstruct_mean': 0.059335093945264816}
{'loss': 2.0159478187561035, 'cancer_mean': 0.6205616593360901, 'tissue_mean': 0.7882611155509949, 'ad_mean': 0.5459573864936829, 'reconstruct_mean': 0.06116780266165733}
{'loss': 2.016710042953491, 'cancer_mean': 0.6180297136306763, 'tissue_mean': 0.7911023497581482, 'ad_mean': 0.5469821691513062, 'reconstruct_mean': 0.06059582903981209}
{'loss': 2.0150060653686523, 'cancer_mean': 0.6202297806739807, 'tissue_mean': 0.7901230454444885, 'ad_mean': 0.5451952219009399, 'reconstruct_mean': 0.05945807322859764}
{'loss': 2.022298812866211, 'cancer_mean': 0.6226740479469299, 'tissue_mean': 0.7906678915023804, 'ad_mean': 0.5483705401420593, 'reconstruct_mean': 0.060586102306842804}
{'loss': 2.0053794384002686, 'cancer_mean': 0.6090208292007446, 'tissue_mean': 0.7898460030555725, 'ad_mean': 0.5467020869255066, 'reconstruct_mean': 0.05981049686670303}
{'loss': 2.014314651489258, 'cancer_mean': 0.6197340488433838, 'tissue_mean': 0.7887963652610779, 'ad_mean': 0.5460991263389587, 'reconstruct_mean': 0.059684932231903076}
{'loss': 2.013810396194458, 'cancer_mean': 0.6147857308387756, 'tissue_mean': 0.7895416617393494, 'ad_mean': 0.5490717887878418, 'reconstruct_mean': 0.06041119620203972}
{'loss': 2.0028724670410156, 'cancer_mean': 0.6066488027572632, 'tissue_mean': 0.7890394330024719, 'ad_mean': 0.5479540824890137, 'reconstruct_mean': 0.05923018977046013}
{'loss': 2.007171392440796, 'cancer_mean': 0.6049405336380005, 'tissue_mean': 0.7903515696525574, 'ad_mean': 0.5507499575614929, 'reconstruct_mean': 0.061129290610551834}
{'loss': 1.9952747821807861, 'cancer_mean': 0.600330114364624, 'tissue_mean': 0.7870561480522156, 'ad_mean': 0.5476498007774353, 'reconstruct_mean': 0.06023861840367317}
{'loss': 1.9948527812957764, 'cancer_mean': 0.6004727482795715, 'tissue_mean': 0.7858665585517883, 'ad_mean': 0.5494515299797058, 'reconstruct_mean': 0.059061963111162186}
{'loss': 2.000253677368164, 'cancer_mean': 0.6010661721229553, 'tissue_mean': 0.7871382832527161, 'ad_mean': 0.5525719523429871, 'reconstruct_mean': 0.05947735905647278}
{'loss': 1.9964110851287842, 'cancer_mean': 0.5974303483963013, 'tissue_mean': 0.7886466383934021, 'ad_mean': 0.5504758358001709, 'reconstruct_mean': 0.05985831841826439}
{'loss': 2.003124237060547, 'cancer_mean': 0.6023603081703186, 'tissue_mean': 0.7882234454154968, 'ad_mean': 0.5500359535217285, 'reconstruct_mean': 0.06250457465648651}
{'loss': 2.0034658908843994, 'cancer_mean': 0.6038256883621216, 'tissue_mean': 0.7859784960746765, 'ad_mean': 0.553100049495697, 'reconstruct_mean': 0.060561735183000565}
{'loss': 1.996946096420288, 'cancer_mean': 0.5960773825645447, 'tissue_mean': 0.7888832688331604, 'ad_mean': 0.5521780252456665, 'reconstruct_mean': 0.05980739742517471}
{'loss': 1.9947333335876465, 'cancer_mean': 0.5946381092071533, 'tissue_mean': 0.7877225279808044, 'ad_mean': 0.5524486303329468, 'reconstruct_mean': 0.05992395430803299}
{'loss': 1.9963703155517578, 'cancer_mean': 0.5941394567489624, 'tissue_mean': 0.7870801091194153, 'ad_mean': 0.5538342595100403, 'reconstruct_mean': 0.06131652742624283}
{'loss': 1.9891953468322754, 'cancer_mean': 0.5896363854408264, 'tissue_mean': 0.7850266695022583, 'ad_mean': 0.5551042556762695, 'reconstruct_mean': 0.05942792445421219}
{'loss': 1.9878977537155151, 'cancer_mean': 0.5828370451927185, 'tissue_mean': 0.7864542007446289, 'ad_mean': 0.5584437251091003, 'reconstruct_mean': 0.06016265228390694}
{'loss': 1.979734182357788, 'cancer_mean': 0.5773035287857056, 'tissue_mean': 0.7860974073410034, 'ad_mean': 0.5554773211479187, 'reconstruct_mean': 0.06085583195090294}
{'loss': 1.9812146425247192, 'cancer_mean': 0.5814637541770935, 'tissue_mean': 0.7832649350166321, 'ad_mean': 0.5555603504180908, 'reconstruct_mean': 0.060925643891096115}
{'loss': 1.9848103523254395, 'cancer_mean': 0.5802118182182312, 'tissue_mean': 0.7861824035644531, 'ad_mean': 0.5578224062919617, 'reconstruct_mean': 0.0605936124920845}
{'loss': 1.9737285375595093, 'cancer_mean': 0.5697394609451294, 'tissue_mean': 0.7832335233688354, 'ad_mean': 0.5590850710868835, 'reconstruct_mean': 0.06167043372988701}
{'loss': 1.9759533405303955, 'cancer_mean': 0.5743945240974426, 'tissue_mean': 0.7838864922523499, 'ad_mean': 0.5568656921386719, 'reconstruct_mean': 0.06080663949251175}
{'loss': 1.978047251701355, 'cancer_mean': 0.5721617341041565, 'tissue_mean': 0.785518229007721, 'ad_mean': 0.559436023235321, 'reconstruct_mean': 0.06093132123351097}
{'loss': 1.9714391231536865, 'cancer_mean': 0.5666429996490479, 'tissue_mean': 0.7849509119987488, 'ad_mean': 0.5582611560821533, 'reconstruct_mean': 0.06158401444554329}
{'loss': 1.9700063467025757, 'cancer_mean': 0.565547525882721, 'tissue_mean': 0.7815579175949097, 'ad_mean': 0.5616762042045593, 'reconstruct_mean': 0.061224546283483505}
{'loss': 1.9637045860290527, 'cancer_mean': 0.5605690479278564, 'tissue_mean': 0.7834030985832214, 'ad_mean': 0.5596230030059814, 'reconstruct_mean': 0.06010938435792923}
{'loss': 1.9687203168869019, 'cancer_mean': 0.5653390884399414, 'tissue_mean': 0.7812785506248474, 'ad_mean': 0.5620200634002686, 'reconstruct_mean': 0.06008255109190941}
{'loss': 1.9605066776275635, 'cancer_mean': 0.5522918701171875, 'tissue_mean': 0.7834637761116028, 'ad_mean': 0.563463032245636, 'reconstruct_mean': 0.06128815561532974}
