,freq_cancer,freq_non_cancer,pred_label,pred,label
0,0.99976426,0.00023569494,Cancer,1,1
1,0.99999857,1.4789747e-06,Cancer,1,1
2,1.719064e-05,0.99998283,Normal,0,0
3,5.8273233e-08,1.0,Normal,0,0
4,6.108862e-06,0.9999939,Normal,0,0
5,1.894957e-08,1.0,Normal,0,0
6,0.3489201,0.65107983,Normal,0,0
7,0.99595,0.00404997,Cancer,1,1
8,0.0010392497,0.99896073,Normal,0,0
9,0.999428,0.00057193835,Cancer,1,1
10,6.873428e-05,0.9999312,Normal,0,0
11,1.9721382e-09,1.0,Normal,0,0
12,0.6535681,0.3464319,Cancer,1,0
13,0.9999999,1.6682644e-07,Cancer,1,1
14,0.9999999,6.7117114e-08,Cancer,1,1
15,0.06666939,0.93333054,Normal,0,0
16,0.0023354883,0.9976646,Normal,0,0
17,5.66573e-08,1.0,Normal,0,0
18,9.842203e-07,0.99999905,Normal,0,0
19,1.347242e-07,0.9999999,Normal,0,0
20,0.99999356,6.4263636e-06,Cancer,1,1
21,0.9999994,5.584501e-07,Cancer,1,1
22,1.4195994e-05,0.9999858,Normal,0,0
23,0.99684685,0.0031531085,Cancer,1,1
24,1.2129209e-07,0.9999999,Normal,0,0
25,4.195974e-06,0.9999958,Normal,0,0
26,1.0,7.8996687e-10,Cancer,1,1
27,0.9999995,4.3742057e-07,Cancer,1,1
28,1.0,6.067593e-10,Cancer,1,1
29,0.9999999,1.4030253e-07,Cancer,1,1
30,7.5111565e-08,0.9999999,Normal,0,0
31,1.0,2.5773084e-10,Cancer,1,1
32,1.0,3.853982e-09,Cancer,1,1
33,1.392674e-06,0.99999857,Normal,0,0
34,0.9999995,4.987526e-07,Cancer,1,1
35,0.9791291,0.020870939,Cancer,1,1
36,0.26044694,0.7395531,Normal,0,1
37,6.3981213e-07,0.9999994,Normal,0,0
38,0.0003503474,0.99964964,Normal,0,0
39,1.0,5.706979e-11,Cancer,1,1
40,0.9999999,6.332573e-08,Cancer,1,1
41,1.0,5.396148e-09,Cancer,1,1
42,0.99995756,4.2404543e-05,Cancer,1,1
43,0.00021040005,0.99978966,Normal,0,0
44,1.0,3.8762347e-11,Cancer,1,1
45,7.1546413e-09,1.0,Normal,0,0
46,0.079511434,0.92048854,Normal,0,0
47,1.0,1.5994832e-08,Cancer,1,1
48,0.9999615,3.8480244e-05,Cancer,1,1
49,0.99999714,2.8067468e-06,Cancer,1,1
50,4.597873e-05,0.999954,Normal,0,0
51,0.5343775,0.46562248,Cancer,1,1
52,0.99929,0.00070999307,Cancer,1,1
53,0.9269952,0.07300476,Cancer,1,1
54,0.99981326,0.00018672984,Cancer,1,1
55,0.99940574,0.00059425726,Cancer,1,1
56,0.9969151,0.0030849196,Cancer,1,1
57,1.4748e-06,0.99999857,Normal,0,0
58,7.6238246e-07,0.9999993,Normal,0,0
59,3.4181988e-09,1.0,Normal,0,0
60,0.01465024,0.9853498,Normal,0,0
61,1.2192165e-05,0.99998784,Normal,0,0
62,0.9996426,0.00035734038,Cancer,1,1
63,1.0542578e-06,0.9999989,Normal,0,0
64,2.4494027e-05,0.99997556,Normal,0,0
65,0.999997,2.9514429e-06,Cancer,1,1
66,1.0,1.4321843e-09,Cancer,1,1
67,0.0075447485,0.99245524,Normal,0,0
68,7.6577516e-07,0.9999993,Normal,0,0
69,1.0,1.903458e-09,Cancer,1,1
70,0.98562247,0.01437751,Cancer,1,1
71,1.3497795e-05,0.9999865,Normal,0,0
72,1.0,1.103185e-08,Cancer,1,1
73,3.0415098e-08,1.0,Normal,0,0
74,9.0258663e-07,0.99999905,Normal,0,0
75,3.9660786e-06,0.99999607,Normal,0,0
76,0.99999774,2.3122102e-06,Cancer,1,1
77,0.99999857,1.405861e-06,Cancer,1,1
78,0.9999987,1.2847646e-06,Cancer,1,1
79,0.99999607,3.9373535e-06,Cancer,1,1
80,0.000491252,0.99950874,Normal,0,0
81,0.48670968,0.5132903,Normal,0,1
82,0.0015451816,0.9984548,Normal,0,0
83,1.0,1.6414685e-09,Cancer,1,1
84,0.00065800134,0.999342,Normal,0,0
85,0.088655464,0.9113446,Normal,0,0
86,8.744269e-10,1.0,Normal,0,0
87,0.97155714,0.02844287,Cancer,1,1
88,1.0221902e-06,0.9999989,Normal,0,0
89,1.1208446e-07,0.9999999,Normal,0,0
90,1.4994548e-08,1.0,Normal,0,0
91,1.8669955e-07,0.99999976,Normal,0,0
92,0.19496436,0.8050356,Normal,0,0
93,0.00013968188,0.9998603,Normal,0,0
94,0.9997079,0.00029214754,Cancer,1,1
95,0.9706032,0.029396778,Cancer,1,1
96,0.983463,0.016536985,Cancer,1,1
97,2.2368205e-05,0.9999776,Normal,0,0
98,0.99995553,4.4510667e-05,Cancer,1,1
99,0.99999905,9.3938866e-07,Cancer,1,1
100,0.9993191,0.00068089,Cancer,1,1
101,0.124158785,0.8758412,Normal,0,0
102,1.528098e-06,0.99999845,Normal,0,0
103,0.00015863226,0.99984133,Normal,0,1
104,0.9496223,0.050377768,Cancer,1,1
105,2.9005797e-08,1.0,Normal,0,0
106,0.9999486,5.135771e-05,Cancer,1,1
107,1.0,2.6789406e-09,Cancer,1,1
108,8.388045e-05,0.9999161,Normal,0,1
109,1.1826278e-05,0.9999882,Normal,0,0
110,4.2997502e-07,0.9999995,Normal,0,0
111,0.07749061,0.92250943,Normal,0,0
112,1.3486064e-06,0.9999987,Normal,0,0
113,1.0,8.3490775e-10,Cancer,1,1
114,0.9993043,0.00069565896,Cancer,1,1
115,4.02039e-06,0.99999595,Normal,0,0
116,4.0782112e-08,1.0,Normal,0,0
117,0.9999795,2.0464708e-05,Cancer,1,1
118,2.0404935e-08,1.0,Normal,0,0
119,0.6505235,0.34947655,Cancer,1,1
120,0.9999993,6.5674294e-07,Cancer,1,1
121,0.9999957,4.3382183e-06,Cancer,1,1
122,0.9954601,0.00453991,Cancer,1,1
123,1.2690415e-08,1.0,Normal,0,0
124,0.35264105,0.64735895,Normal,0,1
125,6.4863098e-06,0.99999356,Normal,0,0
126,2.1768924e-06,0.99999785,Normal,0,0
127,0.002933996,0.99706596,Normal,0,0
128,0.8505312,0.14946881,Cancer,1,1
129,0.0005632468,0.9994367,Normal,0,0
130,1.5122885e-07,0.9999999,Normal,0,0
131,8.091476e-07,0.99999917,Normal,0,0
132,4.1982466e-06,0.9999958,Normal,0,0
133,0.9511687,0.048831295,Cancer,1,1
134,0.99999833,1.7266938e-06,Cancer,1,1
135,0.99999833,1.7253637e-06,Cancer,1,1
136,0.00015856497,0.99984145,Normal,0,0
137,9.741519e-09,1.0,Normal,0,0
138,1.5069025e-07,0.9999999,Normal,0,0
139,6.5685786e-06,0.99999344,Normal,0,0
140,0.9999981,1.9123345e-06,Cancer,1,1
141,1.6743147e-07,0.9999999,Normal,0,0
142,5.077128e-06,0.9999949,Normal,0,0
143,0.9999995,4.180254e-07,Cancer,1,1
144,0.99840266,0.001597371,Cancer,1,1
145,0.999964,3.596466e-05,Cancer,1,1
146,2.2439401e-07,0.99999976,Normal,0,0
147,0.43538603,0.56461394,Normal,0,0
148,2.0046254e-08,1.0,Normal,0,0
149,0.99999416,5.8207074e-06,Cancer,1,1
150,0.99986494,0.00013508264,Cancer,1,1
151,0.0063350424,0.993665,Normal,0,1
152,0.004086631,0.9959133,Normal,0,0
153,0.99993587,6.412675e-05,Cancer,1,1
154,1.2362177e-05,0.9999876,Normal,0,0
155,0.9999999,1.5754942e-07,Cancer,1,1
156,5.262377e-06,0.99999475,Normal,0,0
157,0.99999976,2.2470753e-07,Cancer,1,1
158,0.9999999,1.6292398e-07,Cancer,1,1
159,0.99975914,0.00024087794,Cancer,1,1
160,0.9991097,0.00089028105,Cancer,1,1
161,0.8977469,0.10225314,Cancer,1,1
162,0.0007636481,0.99923635,Normal,0,0
163,2.2779698e-06,0.99999774,Normal,0,0
164,5.4974025e-10,1.0,Normal,0,0
165,0.99318093,0.006819031,Cancer,1,1
166,5.625372e-08,1.0,Normal,0,0
167,0.026416063,0.973584,Normal,0,0
168,0.99999964,3.9548198e-07,Cancer,1,1
169,4.70948e-07,0.9999995,Normal,0,0
170,0.00011581703,0.9998841,Normal,0,0
171,0.000114506416,0.99988544,Normal,0,0
172,3.9855414e-07,0.99999964,Normal,0,0
173,0.025241394,0.9747586,Normal,0,0
174,0.99999964,4.0598567e-07,Cancer,1,1
175,0.9980889,0.0019111162,Cancer,1,1
176,3.3179564e-05,0.99996686,Normal,0,0
177,0.99983716,0.00016286045,Cancer,1,1
178,0.00020145219,0.9997986,Normal,0,0
179,1.4408793e-07,0.9999999,Normal,0,0
180,0.99609804,0.003901946,Cancer,1,1
181,0.99998,1.9996565e-05,Cancer,1,1
182,0.9999901,9.864447e-06,Cancer,1,1
183,1.0,2.5247808e-09,Cancer,1,1
184,0.00026133357,0.99973863,Normal,0,0
185,5.667926e-05,0.9999434,Normal,0,0
186,1.2866312e-05,0.9999871,Normal,0,0
187,1.0,4.983385e-08,Cancer,1,1
188,0.9977818,0.0022182052,Cancer,1,1
189,0.9999244,7.555934e-05,Cancer,1,1
190,0.00016600285,0.99983394,Normal,0,0
191,1.422061e-07,0.9999999,Normal,0,0
192,0.99754566,0.002454355,Cancer,1,1
193,3.3825554e-08,1.0,Normal,0,0
194,0.9145347,0.085465334,Cancer,1,1
195,0.9996835,0.0003165751,Cancer,1,1
196,8.29037e-07,0.99999917,Normal,0,0
197,1.12228165e-08,1.0,Normal,0,0
198,0.011641917,0.9883581,Normal,0,1
199,0.9987627,0.0012372797,Cancer,1,1
200,1.2815926e-06,0.9999987,Normal,0,0
201,1.6368563e-10,1.0,Normal,0,0
202,0.65766484,0.34233516,Cancer,1,0
203,0.9671803,0.032819744,Cancer,1,1
204,0.9999486,5.1433486e-05,Cancer,1,1
205,0.9928058,0.0071942033,Cancer,1,1
206,0.99997485,2.5179563e-05,Cancer,1,1
207,0.999974,2.6002226e-05,Cancer,1,1
208,1.0,4.3914303e-10,Cancer,1,1
209,0.010510071,0.98949,Normal,0,1
210,1.0,8.2872225e-09,Cancer,1,1
211,0.004456898,0.99554306,Normal,0,0
212,6.1334526e-05,0.9999386,Normal,0,0
213,0.999998,1.9737704e-06,Cancer,1,1
214,0.00020631443,0.9997937,Normal,0,0
215,1.0701392e-06,0.9999989,Normal,0,0
216,1.0795492e-06,0.9999989,Normal,0,0
217,0.10368271,0.89631724,Normal,0,0
218,0.9406843,0.0593157,Cancer,1,1
219,0.9999974,2.5814936e-06,Cancer,1,1
220,1.0,9.838087e-10,Cancer,1,1
221,1.5635312e-08,1.0,Normal,0,0
222,0.999193,0.0008069721,Cancer,1,1
223,8.773845e-09,1.0,Normal,0,0
224,1.2193549e-05,0.99998784,Normal,0,0
225,0.0868357,0.9131643,Normal,0,1
226,0.92649,0.07351001,Cancer,1,1
227,9.030734e-08,0.9999999,Normal,0,0
228,6.4403497e-07,0.9999994,Normal,0,0
229,0.9999999,6.408588e-08,Cancer,1,1
230,1.1019265e-05,0.99998903,Normal,0,0
231,2.6129987e-08,1.0,Normal,0,0
232,0.9998901,0.00010989249,Cancer,1,1
233,1.0865153e-07,0.9999999,Normal,0,0
234,9.863827e-06,0.9999901,Normal,0,0
235,2.3455876e-05,0.9999765,Normal,0,0
236,0.0201079,0.9798921,Normal,0,1
237,9.653871e-07,0.99999905,Normal,0,0
238,1.2612501e-05,0.99998736,Normal,0,0
239,1.0,2.8326461e-09,Cancer,1,1
240,1.1505005e-09,1.0,Normal,0,0
241,0.04454695,0.95545304,Normal,0,0
242,2.482071e-05,0.9999752,Normal,0,0
243,0.021467142,0.97853285,Normal,0,0
244,1.2032553e-10,1.0,Normal,0,0
245,0.9988017,0.0011982876,Cancer,1,1
246,0.99989367,0.00010633889,Cancer,1,1
247,0.0005209315,0.9994791,Normal,0,0
248,2.1877728e-05,0.99997807,Normal,0,0
249,0.9999999,7.399363e-08,Cancer,1,1
250,0.99999964,3.0393122e-07,Cancer,1,1
251,8.630211e-07,0.99999917,Normal,0,0
252,5.2348844e-07,0.9999995,Normal,0,0
253,7.001164e-05,0.99993,Normal,0,0
254,4.9224155e-07,0.9999995,Normal,0,0
255,0.12686169,0.8731383,Normal,0,1
256,0.00037837485,0.9996216,Normal,0,0
257,6.609865e-05,0.99993384,Normal,0,0
258,0.99999857,1.423528e-06,Cancer,1,1
259,1.0,2.0202226e-10,Cancer,1,1
260,0.015403834,0.9845962,Normal,0,0
261,1.0,2.3407842e-09,Cancer,1,1
262,1.0,1.4890086e-09,Cancer,1,1
263,1.1255743e-06,0.9999989,Normal,0,0
264,0.99999774,2.3067569e-06,Cancer,1,1
265,0.97980255,0.020197436,Cancer,1,1
266,0.012016851,0.9879831,Normal,0,0
267,0.9999994,5.631115e-07,Cancer,1,1
268,1.0,5.9744523e-12,Cancer,1,1
269,1.0,1.4383087e-08,Cancer,1,1
270,0.00039676178,0.9996032,Normal,0,0
271,0.9995402,0.00045984107,Cancer,1,1
272,0.99999964,3.9920235e-07,Cancer,1,1
273,0.0004247469,0.9995752,Normal,0,0
274,0.99995637,4.3625405e-05,Cancer,1,1
275,5.3419968e-05,0.9999466,Normal,0,0
276,0.9999975,2.4555036e-06,Cancer,1,1
277,0.9989868,0.0010131708,Cancer,1,1
278,1.0,1.9619313e-11,Cancer,1,1
279,0.9999999,1.1829415e-07,Cancer,1,1
280,0.99999034,9.66775e-06,Cancer,1,1
281,0.99993396,6.605876e-05,Cancer,1,1
282,0.001634686,0.99836534,Normal,0,0
283,0.008732715,0.99126726,Normal,0,0
284,0.00495891,0.9950411,Normal,0,0
285,1.0,3.602922e-09,Cancer,1,1
286,0.6325143,0.36748567,Cancer,1,0
287,0.9157453,0.08425467,Cancer,1,1
288,1.0,7.141226e-09,Cancer,1,1
289,0.0011041862,0.99889576,Normal,0,1
290,0.927083,0.07291695,Cancer,1,1
291,1.0,2.5868752e-08,Cancer,1,1
292,0.6672824,0.3327176,Cancer,1,0
293,0.20434828,0.79565173,Normal,0,0
294,0.112968594,0.8870314,Normal,0,0
295,0.996207,0.0037930033,Cancer,1,1
296,0.9999094,9.0543435e-05,Cancer,1,1
297,2.521048e-08,1.0,Normal,0,0
298,0.99758375,0.0024162452,Cancer,1,1
299,0.99850297,0.001497039,Cancer,1,1
300,1.0,3.8377346e-09,Cancer,1,1
301,3.1181483e-07,0.99999964,Normal,0,0
302,1.0,1.88343e-08,Cancer,1,1
303,0.99642986,0.0035701408,Cancer,1,0
