,freq_cancer,freq_non_cancer,pred_label,pred,label
0,0.84536123,0.15463875,Cancer,1,1
1,0.9990081,0.0009919282,Cancer,1,1
2,0.0030514318,0.99694854,Normal,0,0
3,0.00026488837,0.99973506,Normal,0,0
4,0.01777422,0.9822258,Normal,0,0
5,0.004064621,0.9959353,Normal,0,0
6,0.6199595,0.3800406,Cancer,1,0
7,0.9375798,0.062420238,Cancer,1,1
8,0.0005561941,0.9994438,Normal,0,0
9,0.95429033,0.045709625,Cancer,1,1
10,0.010346993,0.98965305,Normal,0,0
11,0.00022499138,0.999775,Normal,0,0
12,0.6308138,0.3691862,Cancer,1,0
13,0.99988925,0.00011072451,Cancer,1,1
14,0.9996164,0.00038354783,Cancer,1,1
15,0.32884115,0.67115885,Normal,0,0
16,0.18819298,0.81180704,Normal,0,0
17,0.0012988391,0.9987011,Normal,0,0
18,0.048571605,0.95142835,Normal,0,0
19,0.009611848,0.9903881,Normal,0,0
20,0.997276,0.00272402,Cancer,1,1
21,0.9996413,0.00035865096,Cancer,1,1
22,0.112439655,0.88756037,Normal,0,0
23,0.9896874,0.010312675,Cancer,1,1
24,0.00020717787,0.9997929,Normal,0,0
25,0.010863723,0.98913634,Normal,0,0
26,0.99989176,0.000108200904,Cancer,1,1
27,0.9995782,0.00042179273,Cancer,1,1
28,0.99992144,7.85283e-05,Cancer,1,1
29,0.9996283,0.00037170705,Cancer,1,1
30,0.00014288483,0.99985707,Normal,0,0
31,0.9999366,6.3356245e-05,Cancer,1,1
32,0.99868757,0.0013124777,Cancer,1,1
33,0.002131931,0.99786806,Normal,0,0
34,0.9995609,0.0004390897,Cancer,1,1
35,0.95461446,0.045385476,Cancer,1,1
36,0.24860995,0.75139004,Normal,0,1
37,0.0031730928,0.9968268,Normal,0,0
38,0.13966426,0.8603357,Normal,0,0
39,0.99982685,0.00017313754,Cancer,1,1
40,0.99877685,0.001223087,Cancer,1,1
41,0.99986005,0.00013990104,Cancer,1,1
42,0.9897696,0.010230451,Cancer,1,1
43,0.1276989,0.8723011,Normal,0,0
44,0.9996954,0.00030456623,Cancer,1,1
45,0.0002225203,0.9997775,Normal,0,0
46,0.14716423,0.8528358,Normal,0,0
47,0.99967813,0.0003218751,Cancer,1,1
48,0.9990614,0.00093861937,Cancer,1,1
49,0.9987973,0.0012027206,Cancer,1,1
50,0.018664751,0.9813353,Normal,0,0
51,0.5946582,0.40534174,Cancer,1,1
52,0.9860095,0.013990471,Cancer,1,1
53,0.83239853,0.16760142,Cancer,1,1
54,0.99705964,0.0029402785,Cancer,1,1
55,0.9531403,0.04685968,Cancer,1,1
56,0.8549458,0.1450542,Cancer,1,1
57,0.0022510719,0.9977489,Normal,0,0
58,0.051749453,0.94825053,Normal,0,0
59,2.8848259e-05,0.99997115,Normal,0,0
60,0.3072255,0.6927745,Normal,0,0
61,0.01558901,0.984411,Normal,0,0
62,0.99241614,0.0075838924,Cancer,1,1
63,0.0066867643,0.99331325,Normal,0,0
64,0.055931058,0.94406897,Normal,0,0
65,0.9979512,0.0020488717,Cancer,1,1
66,0.99947554,0.0005244421,Cancer,1,1
67,0.38428664,0.61571336,Normal,0,0
68,0.025145788,0.97485423,Normal,0,0
69,0.9998965,0.000103472055,Cancer,1,1
70,0.9975744,0.0024256653,Cancer,1,1
71,0.009336385,0.99066365,Normal,0,0
72,0.99886477,0.0011352776,Cancer,1,1
73,7.097499e-05,0.9999291,Normal,0,0
74,0.010620075,0.98937994,Normal,0,0
75,0.0010521213,0.9989479,Normal,0,0
76,0.99784064,0.00215934,Cancer,1,1
77,0.9737257,0.026274309,Cancer,1,1
78,0.9964091,0.003590834,Cancer,1,1
79,0.99899524,0.0010047024,Cancer,1,1
80,0.007968952,0.9920311,Normal,0,0
81,0.70834816,0.29165182,Cancer,1,1
82,0.13333507,0.86666495,Normal,0,0
83,0.9997844,0.00021557539,Cancer,1,1
84,0.0069431504,0.9930568,Normal,0,0
85,0.21726376,0.78273624,Normal,0,0
86,9.225981e-05,0.99990773,Normal,0,0
87,0.9534236,0.046576403,Cancer,1,1
88,0.00029398684,0.999706,Normal,0,0
89,0.01721259,0.9827874,Normal,0,0
90,5.2519234e-05,0.9999474,Normal,0,0
91,0.00020250503,0.9997975,Normal,0,0
92,0.587389,0.41261098,Cancer,1,0
93,0.021789957,0.97821003,Normal,0,0
94,0.99893564,0.001064339,Cancer,1,1
95,0.97460324,0.025396794,Cancer,1,1
96,0.7791222,0.22087784,Cancer,1,1
97,0.063506976,0.936493,Normal,0,0
98,0.9376344,0.062365633,Cancer,1,1
99,0.9993206,0.0006793441,Cancer,1,1
100,0.9578919,0.0421081,Cancer,1,1
101,0.19682181,0.8031782,Normal,0,0
102,0.019282045,0.9807179,Normal,0,0
103,0.03902166,0.9609784,Normal,0,1
104,0.72203946,0.27796057,Cancer,1,1
105,5.1964358e-05,0.999948,Normal,0,0
106,0.97917444,0.020825537,Cancer,1,1
107,0.999516,0.00048394455,Cancer,1,1
108,0.23027347,0.7697266,Normal,0,1
109,0.008487891,0.9915121,Normal,0,0
110,0.000274338,0.99972564,Normal,0,0
111,0.25896195,0.7410381,Normal,0,0
112,0.00046276348,0.9995372,Normal,0,0
113,0.9999044,9.564913e-05,Cancer,1,1
114,0.9658246,0.034175344,Cancer,1,1
115,0.0025998473,0.99740016,Normal,0,0
116,0.00015818291,0.9998418,Normal,0,0
117,0.99949694,0.00050300994,Cancer,1,1
118,0.00052434637,0.99947566,Normal,0,0
119,0.60366946,0.39633057,Cancer,1,1
120,0.9995161,0.00048381745,Cancer,1,1
121,0.9875431,0.012456824,Cancer,1,1
122,0.96396184,0.036038127,Cancer,1,1
123,0.00016199698,0.999838,Normal,0,0
124,0.36765885,0.63234115,Normal,0,1
125,0.00016937505,0.9998306,Normal,0,0
126,0.007013997,0.992986,Normal,0,0
127,0.032541864,0.9674581,Normal,0,0
128,0.7382214,0.26177856,Cancer,1,1
129,0.0077637606,0.9922362,Normal,0,0
130,0.0003934289,0.99960655,Normal,0,0
131,0.00037232862,0.9996277,Normal,0,0
132,0.024142997,0.97585696,Normal,0,0
133,0.62303317,0.37696686,Cancer,1,1
134,0.9957314,0.0042685503,Cancer,1,1
135,0.9993486,0.0006513815,Cancer,1,1
136,0.0020160298,0.99798393,Normal,0,0
137,4.6309648e-05,0.99995375,Normal,0,0
138,7.144933e-05,0.9999286,Normal,0,0
139,0.048770603,0.95122945,Normal,0,0
140,0.9993749,0.0006250884,Cancer,1,1
141,0.00085386826,0.9991461,Normal,0,0
142,0.0005244699,0.99947554,Normal,0,0
143,0.9999428,5.7234898e-05,Cancer,1,1
144,0.96269846,0.037301503,Cancer,1,1
145,0.9445334,0.055466603,Cancer,1,1
146,4.240831e-05,0.99995756,Normal,0,0
147,0.9501375,0.04986252,Cancer,1,0
148,0.012246789,0.9877532,Normal,0,0
149,0.988009,0.011991105,Cancer,1,1
150,0.9306447,0.069355346,Cancer,1,1
151,0.7038483,0.2961517,Cancer,1,1
152,0.019561661,0.98043835,Normal,0,0
153,0.9786113,0.02138871,Cancer,1,1
154,0.032608513,0.96739155,Normal,0,0
155,0.99975103,0.0002489708,Cancer,1,1
156,0.0012202739,0.9987797,Normal,0,0
157,0.9981146,0.0018854099,Cancer,1,1
158,0.9989322,0.0010678368,Cancer,1,1
159,0.957397,0.04260298,Cancer,1,1
160,0.9992824,0.0007175543,Cancer,1,1
161,0.962952,0.037047967,Cancer,1,1
162,0.0055693756,0.9944306,Normal,0,0
163,0.017914139,0.9820858,Normal,0,0
164,2.2957001e-06,0.99999774,Normal,0,0
165,0.9141087,0.085891336,Cancer,1,1
166,1.660751e-05,0.99998343,Normal,0,0
167,0.49674475,0.5032552,Normal,0,0
168,0.99971133,0.00028863453,Cancer,1,1
169,0.0005695704,0.99943036,Normal,0,0
170,0.054278154,0.94572186,Normal,0,0
171,0.0061088656,0.9938911,Normal,0,0
172,0.0031020555,0.99689794,Normal,0,0
173,0.8654626,0.13453738,Cancer,1,0
174,0.9998005,0.00019951633,Cancer,1,1
175,0.98688054,0.013119456,Cancer,1,1
176,0.063574776,0.93642527,Normal,0,0
177,0.9965744,0.0034256491,Cancer,1,1
178,0.001954543,0.99804544,Normal,0,0
179,0.016705504,0.9832945,Normal,0,0
180,0.97935885,0.020641165,Cancer,1,1
181,0.99097425,0.009025728,Cancer,1,1
182,0.9993198,0.0006802551,Cancer,1,1
183,0.9996979,0.00030209456,Cancer,1,1
184,0.37232786,0.62767214,Normal,0,0
185,0.05239603,0.94760394,Normal,0,0
186,0.0036295888,0.99637043,Normal,0,0
187,0.99928325,0.0007167759,Cancer,1,1
188,0.97833943,0.021660607,Cancer,1,1
189,0.99963796,0.0003620597,Cancer,1,1
190,0.0072950004,0.9927049,Normal,0,0
191,0.002398729,0.99760133,Normal,0,0
192,0.99310195,0.006898028,Cancer,1,1
193,0.0005792696,0.99942076,Normal,0,0
194,0.9643498,0.035650227,Cancer,1,1
195,0.9902338,0.009766216,Cancer,1,1
196,0.014744482,0.9852555,Normal,0,0
197,0.0003046162,0.9996954,Normal,0,0
198,0.14974104,0.85025895,Normal,0,1
199,0.99619746,0.003802552,Cancer,1,1
200,0.0030486681,0.99695134,Normal,0,0
201,0.00062591763,0.9993741,Normal,0,0
202,0.6123976,0.38760242,Cancer,1,0
203,0.8126373,0.18736267,Cancer,1,1
204,0.9926991,0.0073009566,Cancer,1,1
205,0.9722796,0.027720362,Cancer,1,1
206,0.99948823,0.00051168445,Cancer,1,1
207,0.9998808,0.000119218734,Cancer,1,1
208,0.9998288,0.00017117185,Cancer,1,1
209,0.12993911,0.8700609,Normal,0,1
210,0.9991979,0.0008021413,Cancer,1,1
211,0.08123923,0.9187607,Normal,0,0
212,0.041568007,0.958432,Normal,0,0
213,0.99895275,0.0010472195,Cancer,1,1
214,0.00205926,0.9979407,Normal,0,0
215,0.0049478146,0.99505216,Normal,0,0
216,0.00077350653,0.99922645,Normal,0,0
217,0.08274405,0.91725594,Normal,0,0
218,0.9530329,0.046967085,Cancer,1,1
219,0.99852693,0.001473038,Cancer,1,1
220,0.9998272,0.00017284707,Cancer,1,1
221,2.996633e-05,0.9999701,Normal,0,0
222,0.9820618,0.017938182,Cancer,1,1
223,0.0010235012,0.99897647,Normal,0,0
224,0.0034062185,0.9965938,Normal,0,0
225,0.54845023,0.4515498,Cancer,1,1
226,0.91850996,0.08149009,Cancer,1,1
227,0.00013842636,0.9998616,Normal,0,0
228,0.00048410444,0.9995159,Normal,0,0
229,0.9994466,0.0005534339,Cancer,1,1
230,0.0050825276,0.9949175,Normal,0,0
231,0.0005272653,0.9994728,Normal,0,0
