"Sample","freq_cancer","freq_non_cancer","pred_label","pred","label"
"V1","0","1","non_cancer",0,0
"V2","0.2","0.8","non_cancer",0,0
"V3","0","1","non_cancer",0,0
"V4","0","1","non_cancer",0,0
"V5","0.2","0.8","non_cancer",0,0
"V6","0","1","non_cancer",0,0
"V7","0","1","non_cancer",0,0
"V8","0.2","0.8","non_cancer",0,0
"V9","0","1","non_cancer",0,0
"V10","0","1","non_cancer",0,0
"V11","0","1","non_cancer",0,0
"V12","0","1","non_cancer",0,0
"V13","0.2","0.8","non_cancer",0,0
"V14","0","1","non_cancer",0,0
"V15","0","1","non_cancer",0,0
"V16","0","1","non_cancer",0,0
"V17","0.2","0.8","non_cancer",0,0
"V18","0","1","non_cancer",0,0
"V19","0.2","0.8","non_cancer",0,0
"V20","0.2","0.8","non_cancer",0,0
"V21","0","1","non_cancer",0,0
"V22","0.4","0.6","non_cancer",0,0
"V23","0.2","0.8","non_cancer",0,0
"V24","0.2","0.8","non_cancer",0,0
"V25","0.4","0.6","non_cancer",0,0
"V26","0.2","0.8","non_cancer",0,0
"V27","0.4","0.6","non_cancer",0,0
"V28","0","1","non_cancer",0,0
"V29","0.2","0.8","non_cancer",0,0
"V30","0.2","0.8","non_cancer",0,0
"V31","0.2","0.8","non_cancer",0,0
"V32","0.2","0.8","non_cancer",0,0
"V33","0.4","0.6","non_cancer",0,0
"V34","0.2","0.8","non_cancer",0,0
"V35","0","1","non_cancer",0,0
"V36","0","1","non_cancer",0,0
"V37","0","1","non_cancer",0,0
"V38","0.2","0.8","non_cancer",0,0
"V39","0.4","0.6","non_cancer",0,0
"V40","0","1","non_cancer",0,0
"V41","0.4","0.6","non_cancer",0,0
"V42","0","1","non_cancer",0,0
"V43","0.2","0.8","non_cancer",0,0
"V44","0","1","non_cancer",0,0
"V45","0.4","0.6","non_cancer",0,0
"V46","0","1","non_cancer",0,0
"V47","0.2","0.8","non_cancer",0,0
"V48","0.2","0.8","non_cancer",0,0
"V49","0.2","0.8","non_cancer",0,1
"V50","0.2","0.8","non_cancer",0,1
"V51","0.4","0.6","non_cancer",0,1
"V52","0.6","0.4","cancer",1,1
"V53","0.6","0.4","cancer",1,1
"V54","0.4","0.6","non_cancer",0,1
"V55","0.4","0.6","non_cancer",0,1
"V56","0.2","0.8","non_cancer",0,1
"V57","0.4","0.6","non_cancer",0,1
"V58","0.2","0.8","non_cancer",0,1
"V59","0.2","0.8","non_cancer",0,1
"V60","0.6","0.4","cancer",1,1
"V61","0.6","0.4","cancer",1,1
"V62","0.6","0.4","cancer",1,1
"V63","0.8","0.2","cancer",1,1
"V64","0.2","0.8","non_cancer",0,1
"V65","0.2","0.8","non_cancer",0,1
"V66","0.4","0.6","non_cancer",0,1
"V67","0.4","0.6","non_cancer",0,1
"V68","0.8","0.2","cancer",1,1
"V69","0.6","0.4","cancer",1,1
"V70","0.8","0.2","cancer",1,1
"V71","0.8","0.2","cancer",1,1
"V72","0.4","0.6","non_cancer",0,1
"V73","0.6","0.4","cancer",1,1
"V74","0.6","0.4","cancer",1,1
"V75","0.6","0.4","cancer",1,1
"V76","0.2","0.8","non_cancer",0,1
"V77","0.4","0.6","non_cancer",0,1
"V78","0.4","0.6","non_cancer",0,1
"V79","0.6","0.4","cancer",1,1
"V80","0.8","0.2","cancer",1,1
"V81","0.2","0.8","non_cancer",0,1
"V82","0.2","0.8","non_cancer",0,1
"V83","0.4","0.6","non_cancer",0,1
"V84","0.4","0.6","non_cancer",0,1
"V85","0.4","0.6","non_cancer",0,1
"V86","0.6","0.4","cancer",1,1
"V87","0.2","0.8","non_cancer",0,1
"V88","0.2","0.8","non_cancer",0,1
"V89","0.2","0.8","non_cancer",0,1
"V90","0.4","0.6","non_cancer",0,1
"V91","0.4","0.6","non_cancer",0,1
"V92","0.6","0.4","cancer",1,1
"V93","0.2","0.8","non_cancer",0,1
"V94","0.2","0.8","non_cancer",0,1
"V95","0.6","0.4","cancer",1,1
"V96","0.4","0.6","non_cancer",0,1
"V97","0.6","0.4","cancer",1,1
"V98","0.8","0.2","cancer",1,1
"V99","0.6","0.4","cancer",1,1
"V100","0.2","0.8","non_cancer",0,1
"V101","0.8","0.2","cancer",1,1
"V102","0.4","0.6","non_cancer",0,1
"V103","0.2","0.8","non_cancer",0,1
"V104","0.4","0.6","non_cancer",0,1
"V105","0.4","0.6","non_cancer",0,1
"V106","0.2","0.8","non_cancer",0,1
"V107","0.4","0.6","non_cancer",0,1
"V108","0.6","0.4","cancer",1,1
"V109","0.2","0.8","non_cancer",0,1
"V110","0.4","0.6","non_cancer",0,1
"V111","0.2","0.8","non_cancer",0,1
"V112","0.2","0.8","non_cancer",0,1
"V113","0.6","0.4","cancer",1,1
"V114","0.4","0.6","non_cancer",0,1
"V115","0.4","0.6","non_cancer",0,1
"V116","0.6","0.4","cancer",1,1
"V117","0.6","0.4","cancer",1,1
"V118","0.4","0.6","non_cancer",0,1
"V119","0.2","0.8","non_cancer",0,1
"V120","0.2","0.8","non_cancer",0,1
"V121","0.2","0.8","non_cancer",0,1
"V122","0.6","0.4","cancer",1,1
"V123","0.4","0.6","non_cancer",0,1
"V124","0.8","0.2","cancer",1,1
"V125","0.4","0.6","non_cancer",0,1
"V126","0.2","0.8","non_cancer",0,1
"V127","0.2","0.8","non_cancer",0,1
"V128","0.2","0.8","non_cancer",0,1
"V129","0.2","0.8","non_cancer",0,1
"V130","0.6","0.4","cancer",1,1
"V131","0.4","0.6","non_cancer",0,1
"V132","0.4","0.6","non_cancer",0,1
"V133","0.4","0.6","non_cancer",0,1
"V134","0.6","0.4","cancer",1,1
"V135","0.4","0.6","non_cancer",0,1
"V136","0.2","0.8","non_cancer",0,1
"V137","0.4","0.6","non_cancer",0,1
"V138","0.2","0.8","non_cancer",0,1
"V139","0.6","0.4","cancer",1,1
"V140","0.2","0.8","non_cancer",0,1
"V141","0.4","0.6","non_cancer",0,1
