"Sample","freq_cancer","freq_non_cancer","pred_label","pred","label"
"BT1313.P1.A03","0","1","non_cancer",0,0
"BT1313.P1.A09","0","1","non_cancer",0,0
"BT1313.P1.A11","0","1","non_cancer",0,0
"BT1313.P1.A12","0","1","non_cancer",0,0
"BT1313.P1.B01","0","1","non_cancer",0,0
"BT1313.P1.B02","0","1","non_cancer",0,0
"BT1313.P1.B03","0","1","non_cancer",0,0
"BT1313.P1.B07","0","1","non_cancer",0,0
"BT1313.P1.B08","0","1","non_cancer",0,0
"BT1313.P1.B11","0","1","non_cancer",0,0
"BT1313.P1.C03","0","1","non_cancer",0,0
"BT1313.P1.C09","0","1","non_cancer",0,0
"BT1313.P1.C11","0","1","non_cancer",0,0
"BT1313.P1.D05","0","1","non_cancer",0,0
"BT1313.P1.D07","0","1","non_cancer",0,0
"BT1313.P1.E05","0","1","non_cancer",0,0
"BT1313.P1.H01","0","1","non_cancer",0,0
"BT1313.P1.H05","0","1","non_cancer",0,0
"BT1313.P3.A01","0","1","non_cancer",0,0
"BT1313.P3.A03","0","1","non_cancer",0,0
"BT1313.P3.A04","0","1","non_cancer",0,0
"BT1313.P3.A09","0","1","non_cancer",0,0
"BT1313.P3.B12","0","1","non_cancer",0,0
"BT1313.P3.D04","0","1","non_cancer",0,0
"BT1313.P3.D09","0","1","non_cancer",0,0
"BT1313.P3.D10","0","1","non_cancer",0,0
"BT1313.P3.D11","0","1","non_cancer",0,0
"BT1313.P3.E03","0","1","non_cancer",0,0
"BT1313.P3.F03","0","1","non_cancer",0,0
"BT1313.P3.F05","0","1","non_cancer",0,0
"BT1313.P3.F06","0","1","non_cancer",0,0
"BT1313.P3.F11","0","1","non_cancer",0,0
"BT1313.P3.G11","0","1","non_cancer",0,0
"BT1313.P3.H10","0","1","non_cancer",0,0
"BT1313.P3.H12","0","1","non_cancer",0,0
"BT1313.P4.A02","0","1","non_cancer",0,0
"BT1313.P4.A05","0","1","non_cancer",0,0
"BT1313.P4.A10","0","1","non_cancer",0,0
"BT1313.P4.B07","0","1","non_cancer",0,0
"BT1313.P4.C10","0","1","non_cancer",0,0
"BT1313.P4.C12","0","1","non_cancer",0,0
"BT1313.P4.D02","0","1","non_cancer",0,0
"BT1313.P4.D09","0","1","non_cancer",0,0
"BT1313.P4.E02","0","1","non_cancer",0,0
"BT1313.P4.E03","0","1","non_cancer",0,0
"BT1313.P4.E08","0","1","non_cancer",0,0
"BT1313.P4.F01","0","1","non_cancer",0,0
"BT1313.P4.F03","0","1","non_cancer",0,0
"BT1313.P4.F07","0","1","non_cancer",0,0
"BT1313.P4.F09","0","1","non_cancer",0,0
