,freq_cancer,freq_non_cancer,pred_label,pred,label
0,0.000670896,0.9993291,Normal,0,0
1,0.9998011,0.00019895195,Cancer,1,1
2,0.99660623,0.0033937742,Cancer,1,1
3,0.9960912,0.003908763,Cancer,1,1
4,0.038107295,0.9618927,Normal,0,0
5,0.9853683,0.014631701,Cancer,1,1
6,0.9983298,0.0016701953,Cancer,1,1
7,0.9963779,0.0036221172,Cancer,1,1
8,0.99709845,0.002901618,Cancer,1,1
9,0.98966753,0.010332422,Cancer,1,1
10,0.99833006,0.0016699781,Cancer,1,1
11,0.9973821,0.0026178902,Cancer,1,1
12,0.99951017,0.00048980175,Cancer,1,1
13,0.9834435,0.016556429,Cancer,1,1
14,0.9606994,0.039300643,Cancer,1,1
15,0.9974662,0.0025337562,Cancer,1,1
16,0.9858862,0.014113738,Cancer,1,1
17,0.99778265,0.0022174139,Cancer,1,1
18,0.99175066,0.008249343,Cancer,1,1
19,0.99927753,0.0007224225,Cancer,1,1
20,0.9846101,0.015389888,Cancer,1,1
21,0.9946983,0.0053017163,Cancer,1,1
22,0.9908931,0.009106831,Cancer,1,1
23,0.9941111,0.005888818,Cancer,1,1
24,0.98188066,0.018119307,Cancer,1,1
25,0.9982186,0.0017813449,Cancer,1,1
26,0.97434425,0.025655767,Cancer,1,1
27,0.9958871,0.004112942,Cancer,1,1
28,0.09610429,0.90389574,Normal,0,0
29,0.9891214,0.010878603,Cancer,1,1
30,0.9910445,0.008955502,Cancer,1,1
31,0.00271474,0.99728525,Normal,0,0
32,0.9970584,0.0029416266,Cancer,1,1
33,0.9307338,0.06926616,Cancer,1,1
34,0.99477106,0.0052288887,Cancer,1,1
35,0.9977375,0.002262446,Cancer,1,1
36,0.003832114,0.99616784,Normal,0,0
37,0.99761665,0.0023834037,Cancer,1,1
38,0.99471915,0.005280848,Cancer,1,1
39,0.99664104,0.003358924,Cancer,1,1
40,0.9934608,0.0065391716,Cancer,1,1
41,0.9765961,0.023403851,Cancer,1,1
42,0.9941274,0.0058725495,Cancer,1,1
43,0.9968266,0.0031733902,Cancer,1,1
44,0.9963701,0.0036299578,Cancer,1,1
45,0.99705744,0.0029425859,Cancer,1,1
46,0.98681784,0.0131821055,Cancer,1,1
47,0.98874134,0.011258619,Cancer,1,1
48,0.99772006,0.002279914,Cancer,1,1
49,0.99884343,0.0011565783,Cancer,1,1
50,0.9996283,0.00037165673,Cancer,1,1
51,0.9951025,0.0048974752,Cancer,1,1
52,0.9858235,0.014176444,Cancer,1,1
53,0.99816626,0.0018337459,Cancer,1,1
54,0.9702514,0.029748628,Cancer,1,1
55,0.98285806,0.017141901,Cancer,1,1
56,0.99739444,0.0026055933,Cancer,1,1
57,0.9986732,0.0013268334,Cancer,1,1
58,0.98775333,0.012246675,Cancer,1,1
59,0.9230702,0.07692985,Cancer,1,1
60,0.9974722,0.002527721,Cancer,1,1
61,0.9997278,0.0002722431,Cancer,1,1
62,0.97408015,0.025919778,Cancer,1,1
63,0.9998287,0.00017127194,Cancer,1,1
64,0.9821768,0.017823152,Cancer,1,1
65,0.9951769,0.004823085,Cancer,1,1
66,0.99601763,0.003982406,Cancer,1,1
67,0.9992914,0.00070851546,Cancer,1,1
68,0.99726284,0.0027371033,Cancer,1,1
69,0.99487054,0.0051294565,Cancer,1,1
70,0.9969432,0.0030567818,Cancer,1,1
71,0.99812907,0.0018709254,Cancer,1,1
72,0.99863356,0.0013663701,Cancer,1,1
73,0.9931986,0.0068014283,Cancer,1,1
74,0.9912674,0.008732666,Cancer,1,1
75,0.98609704,0.013902974,Cancer,1,1
76,0.04552986,0.95447016,Normal,0,0
77,0.9977932,0.00220675,Cancer,1,1
78,0.0010748279,0.99892515,Normal,0,0
79,0.00018373375,0.99981624,Normal,0,0
80,0.99948347,0.000516495,Cancer,1,1
81,0.99938786,0.0006121251,Cancer,1,1
82,0.9960408,0.003959153,Cancer,1,1
83,0.99835396,0.0016460724,Cancer,1,1
84,0.9984602,0.0015397854,Cancer,1,1
85,0.0019205441,0.9980794,Normal,0,0
86,0.9902507,0.009749271,Cancer,1,1
87,0.9936771,0.0063229036,Cancer,1,1
88,0.99793565,0.0020643193,Cancer,1,1
89,0.00019287964,0.9998072,Normal,0,0
90,0.9998049,0.00019515691,Cancer,1,1
91,0.999841,0.00015905744,Cancer,1,1
92,0.99371344,0.0062864996,Cancer,1,1
93,0.0035302588,0.99646974,Normal,0,0
94,0.99947006,0.00052994,Cancer,1,1
95,0.9977113,0.0022886447,Cancer,1,1
