,freq_cancer,freq_non_cancer,pred_label,pred,label
0,0.08363499,0.916365,Normal,0,0
1,6.366877e-05,0.99993634,Normal,0,0
2,1.7319941e-06,0.9999982,Normal,0,0
3,7.4397493e-09,1.0,Normal,0,0
4,7.360825e-06,0.9999926,Normal,0,0
5,1.1778444e-09,1.0,Normal,0,0
6,0.00073547993,0.99926454,Normal,0,0
7,0.0050212406,0.9949787,Normal,0,0
8,1.1496278e-06,0.9999988,Normal,0,0
9,1.3575203e-06,0.9999987,Normal,0,0
10,8.6550564e-08,0.9999999,Normal,0,0
11,1.4595977e-06,0.99999857,Normal,0,0
12,5.8093997e-07,0.9999994,Normal,0,0
13,2.0331149e-07,0.99999976,Normal,0,0
14,1.4543824e-05,0.99998546,Normal,0,0
15,3.7992488e-06,0.9999962,Normal,0,0
16,4.5151586e-07,0.9999995,Normal,0,0
17,3.4048804e-05,0.9999659,Normal,0,0
18,1.863923e-06,0.9999981,Normal,0,0
19,9.2942963e-07,0.99999905,Normal,0,0
20,1.1596886e-07,0.9999999,Normal,0,0
21,9.813598e-07,0.99999905,Normal,0,0
22,9.314661e-07,0.99999905,Normal,0,0
23,0.0028013904,0.9971986,Normal,0,0
24,0.99064004,0.009359961,Cancer,1,1
25,0.9957124,0.0042876215,Cancer,1,1
26,0.9865393,0.013460624,Cancer,1,1
27,0.7521318,0.24786818,Cancer,1,1
28,0.99473804,0.005262008,Cancer,1,1
29,0.9997074,0.0002925193,Cancer,1,1
30,0.999273,0.0007270111,Cancer,1,1
31,0.9960776,0.003922421,Cancer,1,1
32,0.9953371,0.0046627983,Cancer,1,1
33,0.9969428,0.0030571932,Cancer,1,1
34,0.99895906,0.0010409778,Cancer,1,1
35,0.9983542,0.0016457996,Cancer,1,1
36,0.9489781,0.05102184,Cancer,1,1
37,0.98672605,0.013273975,Cancer,1,1
38,0.9984236,0.0015764078,Cancer,1,1
39,0.01275902,0.98724097,Normal,0,1
40,0.9393731,0.060626987,Cancer,1,1
41,0.96529114,0.034708798,Cancer,1,1
42,0.99800175,0.0019982106,Cancer,1,1
43,0.9999511,4.887237e-05,Cancer,1,1
44,0.9986879,0.0013120709,Cancer,1,1
45,0.9852158,0.014784242,Cancer,1,1
46,0.99648935,0.0035105923,Cancer,1,1
47,0.9733401,0.026659945,Cancer,1,1
48,0.9994311,0.00056890905,Cancer,1,1
49,0.91131806,0.08868194,Cancer,1,1
50,0.98481816,0.015181825,Cancer,1,1
51,0.99918455,0.00081545615,Cancer,1,1
52,0.9707926,0.029207435,Cancer,1,1
53,0.9724755,0.027524516,Cancer,1,1
54,0.99917537,0.0008245941,Cancer,1,1
55,0.9896813,0.010318652,Cancer,1,1
56,0.98324627,0.016753742,Cancer,1,1
57,0.999742,0.0002580362,Cancer,1,1
58,0.99822253,0.0017774556,Cancer,1,1
59,0.98390514,0.0160948,Cancer,1,1
60,0.9989512,0.001048744,Cancer,1,1
61,0.732504,0.26749605,Cancer,1,1
62,0.99960667,0.00039338993,Cancer,1,1
63,0.99718034,0.0028196562,Cancer,1,1
64,0.98821867,0.011781363,Cancer,1,1
65,0.99746525,0.0025346891,Cancer,1,1
66,0.9901663,0.009833719,Cancer,1,1
67,0.9994054,0.0005945683,Cancer,1,1
68,0.99194825,0.008051667,Cancer,1,1
69,0.9959849,0.00401513,Cancer,1,1
70,0.9493403,0.05065972,Cancer,1,1
71,0.96402997,0.03596999,Cancer,1,1
72,0.9804585,0.01954146,Cancer,1,1
73,0.99699855,0.003001485,Cancer,1,1
74,0.007159602,0.9928404,Normal,0,1
75,0.9989348,0.0010652448,Cancer,1,1
76,0.9967487,0.0032512608,Cancer,1,1
77,0.9958763,0.0041237064,Cancer,1,1
78,0.9841487,0.015851311,Cancer,1,1
79,0.941524,0.058475986,Cancer,1,1
80,0.9999018,9.8230455e-05,Cancer,1,1
81,0.99941885,0.0005811138,Cancer,1,1
82,0.9948631,0.005136881,Cancer,1,1
83,0.99493164,0.00506833,Cancer,1,1
84,0.9730512,0.026948817,Cancer,1,1
85,0.9990945,0.00090547453,Cancer,1,1
86,0.9955071,0.0044928803,Cancer,1,1
87,0.9767889,0.023211142,Cancer,1,1
88,0.95434994,0.045650095,Cancer,1,1
89,0.97701937,0.02298069,Cancer,1,1
90,0.99886024,0.001139776,Cancer,1,1
91,0.9990615,0.00093852874,Cancer,1,1
92,0.98437184,0.015628193,Cancer,1,1
93,0.9037441,0.09625589,Cancer,1,1
94,0.9959663,0.0040337304,Cancer,1,1
95,0.9998648,0.00013513185,Cancer,1,1
96,0.92890877,0.07109129,Cancer,1,1
