,freq_cancer,freq_non_cancer,pred_label,pred,label
0,0.06324663,0.9367534,Normal,0,0
1,0.6678557,0.33214432,Cancer,1,1
2,0.8206791,0.1793209,Cancer,1,1
3,0.99066305,0.00933691,Cancer,1,1
4,0.48545384,0.51454616,Normal,0,1
5,0.99089897,0.009100989,Cancer,1,1
6,0.96576434,0.034235645,Cancer,1,1
7,0.9786084,0.021391608,Cancer,1,1
8,0.99295557,0.00704442,Cancer,1,0
9,0.64463335,0.35536665,Cancer,1,1
10,0.7523011,0.24769889,Cancer,1,0
11,0.9812182,0.018781781,Cancer,1,1
12,0.956898,0.043102052,Cancer,1,1
13,0.93771696,0.06228304,Cancer,1,1
14,0.42557195,0.574428,Normal,0,0
15,0.99495995,0.0050400724,Cancer,1,1
16,0.97491497,0.025085017,Cancer,1,1
17,0.9741067,0.025893297,Cancer,1,0
18,0.97757554,0.022424432,Cancer,1,1
19,0.99457526,0.005424772,Cancer,1,1
20,0.9559239,0.044076126,Cancer,1,1
21,0.96036524,0.039634757,Cancer,1,1
22,0.46015665,0.5398434,Normal,0,1
23,0.9950423,0.0049576606,Cancer,1,1
24,0.98390096,0.016098967,Cancer,1,1
25,0.9790419,0.020958167,Cancer,1,1
26,0.8687613,0.13123864,Cancer,1,1
27,0.8897624,0.110237576,Cancer,1,1
28,0.7992508,0.20074919,Cancer,1,1
29,0.94428426,0.05571567,Cancer,1,1
30,0.9906483,0.009351698,Cancer,1,0
31,0.644243,0.35575703,Cancer,1,1
32,0.85200936,0.14799064,Cancer,1,1
33,0.99475396,0.0052459757,Cancer,1,1
34,0.99212646,0.007873465,Cancer,1,1
35,0.8041922,0.19580787,Cancer,1,1
36,0.9902885,0.009711484,Cancer,1,1
37,0.9689465,0.031053457,Cancer,1,1
38,0.9998282,0.00017178878,Cancer,1,1
39,0.95381594,0.046184026,Cancer,1,1
40,0.9993722,0.0006277939,Cancer,1,1
41,0.95776284,0.04223718,Cancer,1,1
42,0.9975809,0.0024190778,Cancer,1,0
43,0.9918739,0.008126058,Cancer,1,0
44,0.18951812,0.81048185,Normal,0,1
45,0.9674597,0.032540284,Cancer,1,1
46,0.9728506,0.027149325,Cancer,1,1
47,0.99927527,0.00072476186,Cancer,1,1
48,0.23153982,0.76846015,Normal,0,0
49,0.915723,0.08427703,Cancer,1,1
50,0.9245112,0.07548883,Cancer,1,1
51,0.9770957,0.022904284,Cancer,1,1
52,0.9809473,0.019052766,Cancer,1,1
53,0.5849865,0.41501352,Cancer,1,1
54,0.9167356,0.08326448,Cancer,1,1
55,0.9876496,0.012350319,Cancer,1,1
56,0.9896768,0.01032325,Cancer,1,1
57,0.9955433,0.0044567543,Cancer,1,1
58,0.8718487,0.12815128,Cancer,1,1
59,0.6719951,0.32800493,Cancer,1,1
60,0.09950025,0.90049976,Normal,0,1
61,0.75498444,0.24501558,Cancer,1,1
62,0.9026037,0.09739635,Cancer,1,0
63,0.99374676,0.0062532723,Cancer,1,1
64,0.99347466,0.006525327,Cancer,1,1
65,0.99722075,0.0027792156,Cancer,1,1
66,0.6604573,0.33954266,Cancer,1,1
67,0.96066,0.039339997,Cancer,1,1
68,0.9912446,0.008755348,Cancer,1,1
69,0.90815854,0.0918414,Cancer,1,1
70,0.9516718,0.048328243,Cancer,1,1
71,0.9755637,0.02443625,Cancer,1,1
72,0.99918205,0.0008179223,Cancer,1,0
73,0.31441262,0.6855874,Normal,0,1
74,0.33656722,0.6634328,Normal,0,1
75,0.93376505,0.06623501,Cancer,1,0
76,0.9955006,0.0044993088,Cancer,1,1
77,0.99793434,0.0020657307,Cancer,1,0
78,0.9159525,0.08404752,Cancer,1,1
79,0.9682147,0.031785276,Cancer,1,1
80,0.7889461,0.21105392,Cancer,1,1
81,0.97112525,0.028874783,Cancer,1,1
82,0.89903194,0.10096812,Cancer,1,1
83,0.96759063,0.032409407,Cancer,1,1
84,0.9774385,0.022561524,Cancer,1,1
85,0.993152,0.0068480144,Cancer,1,1
86,0.88756657,0.11243344,Cancer,1,1
87,0.99093175,0.009068195,Cancer,1,1
88,0.962302,0.037697993,Cancer,1,1
89,0.96049356,0.039506376,Cancer,1,1
90,0.9494471,0.050552975,Cancer,1,1
91,0.99417454,0.005825508,Cancer,1,1
92,0.8442703,0.15572968,Cancer,1,1
93,0.87051266,0.12948738,Cancer,1,0
94,0.96277803,0.037221998,Cancer,1,1
95,0.9544054,0.045594573,Cancer,1,0
96,0.98238385,0.017616155,Cancer,1,1
97,0.9595701,0.040429935,Cancer,1,1
98,0.69080377,0.3091963,Cancer,1,1
99,0.989167,0.01083298,Cancer,1,1
100,0.73502177,0.2649782,Cancer,1,0
101,0.60042936,0.3995706,Cancer,1,1
102,0.9455136,0.054486435,Cancer,1,1
103,0.9947214,0.0052785636,Cancer,1,1
104,0.96377987,0.036220107,Cancer,1,1
105,0.80918443,0.19081551,Cancer,1,1
106,0.99788624,0.0021137353,Cancer,1,1
107,0.9923983,0.0076016923,Cancer,1,1
108,0.20505783,0.79494214,Normal,0,0
109,0.98498034,0.015019643,Cancer,1,1
110,0.9968226,0.0031774445,Cancer,1,1
111,0.9876423,0.01235772,Cancer,1,1
112,0.5443379,0.4556621,Cancer,1,1
113,0.9768345,0.023165526,Cancer,1,1
114,0.97743136,0.022568677,Cancer,1,1
115,0.92499685,0.07500313,Cancer,1,0
116,0.5633053,0.43669465,Cancer,1,1
117,0.98561054,0.014389468,Cancer,1,1
118,0.98881525,0.011184796,Cancer,1,1
119,0.39894277,0.60105723,Normal,0,1
120,0.7924313,0.2075687,Cancer,1,0
121,0.06255769,0.9374423,Normal,0,0
122,0.9152079,0.08479208,Cancer,1,0
123,0.9392235,0.060776502,Cancer,1,1
124,0.79451144,0.20548859,Cancer,1,1
125,0.82711446,0.17288549,Cancer,1,1
126,0.94495624,0.055043742,Cancer,1,1
127,0.9797418,0.020258226,Cancer,1,1
128,0.90222293,0.0977771,Cancer,1,1
129,0.99691796,0.0030821022,Cancer,1,1
130,0.99755317,0.00244689,Cancer,1,0
131,0.9742681,0.025731914,Cancer,1,0
132,0.46786308,0.53213686,Normal,0,0
133,0.9694577,0.03054228,Cancer,1,1
134,0.9697425,0.030257475,Cancer,1,1
135,0.4079858,0.5920142,Normal,0,1
136,0.9084351,0.091564864,Cancer,1,1
137,0.9423216,0.05767845,Cancer,1,0
138,0.9373866,0.06261336,Cancer,1,1
139,0.84242004,0.15758,Cancer,1,1
140,0.99266,0.007340078,Cancer,1,1
141,0.52478725,0.4752127,Cancer,1,1
142,0.99836296,0.0016369933,Cancer,1,1
143,0.9953739,0.004626136,Cancer,1,1
144,0.97642523,0.0235747,Cancer,1,1
145,0.9693672,0.030632796,Cancer,1,1
146,0.91067225,0.08932775,Cancer,1,1
147,0.93746096,0.06253907,Cancer,1,1
148,0.66041493,0.339585,Cancer,1,1
149,0.99653435,0.0034655898,Cancer,1,1
150,0.976186,0.023814002,Cancer,1,1
151,0.77417016,0.22582988,Cancer,1,0
152,0.9820123,0.017987762,Cancer,1,1
153,0.99754995,0.002450072,Cancer,1,1
