,freq_cancer,freq_non_cancer,pred_label,pred,label
0,0.99970394,0.0002960754,Cancer,1,1
1,0.9999752,2.483172e-05,Cancer,1,1
2,0.99607193,0.003928044,Cancer,1,1
3,0.9999392,6.0736595e-05,Cancer,1,1
4,0.9999895,1.0501854e-05,Cancer,1,1
5,0.99921274,0.0007871846,Cancer,1,1
6,0.99859864,0.0014014083,Cancer,1,1
7,0.99877375,0.0012262489,Cancer,1,1
8,0.9999645,3.550356e-05,Cancer,1,1
9,0.9998888,0.00011115528,Cancer,1,1
10,0.9954543,0.004545697,Cancer,1,1
11,0.9803504,0.01964963,Cancer,1,1
12,0.99999607,3.8993876e-06,Cancer,1,1
13,0.9999039,9.60458e-05,Cancer,1,1
14,0.9999871,1.2846045e-05,Cancer,1,1
15,0.99997663,2.3396184e-05,Cancer,1,1
16,0.9999697,3.0240113e-05,Cancer,1,1
17,0.99996984,3.019395e-05,Cancer,1,1
18,0.99999726,2.7976105e-06,Cancer,1,1
19,0.9999299,7.0033195e-05,Cancer,1,1
20,0.9966557,0.0033442606,Cancer,1,1
21,0.999905,9.495536e-05,Cancer,1,1
22,0.9998661,0.00013383488,Cancer,1,1
23,0.9995466,0.00045335054,Cancer,1,1
24,0.99736446,0.0026355227,Cancer,1,1
25,0.9999944,5.5432374e-06,Cancer,1,1
26,0.99945515,0.00054489064,Cancer,1,1
27,0.9984022,0.0015978684,Cancer,1,1
28,0.99999404,5.9083677e-06,Cancer,1,1
29,0.9999765,2.3506329e-05,Cancer,1,1
30,0.9998079,0.00019210548,Cancer,1,1
31,0.9999808,1.914976e-05,Cancer,1,1
32,0.99995756,4.2465254e-05,Cancer,1,1
33,0.99998915,1.0799572e-05,Cancer,1,1
34,0.9999738,2.6239693e-05,Cancer,1,1
35,0.9928042,0.00719575,Cancer,1,1
36,0.99999833,1.6919728e-06,Cancer,1,1
37,0.9979837,0.0020162447,Cancer,1,1
38,0.9999833,1.6679329e-05,Cancer,1,1
39,0.99998796,1.2025968e-05,Cancer,1,1
40,0.999966,3.3993685e-05,Cancer,1,1
41,0.99995327,4.672165e-05,Cancer,1,1
42,0.9997991,0.00020093404,Cancer,1,1
43,0.9999943,5.7559464e-06,Cancer,1,1
44,0.9999223,7.776722e-05,Cancer,1,1
45,0.99995136,4.8610633e-05,Cancer,1,1
46,0.963591,0.036409024,Cancer,1,1
47,0.99998045,1.952782e-05,Cancer,1,1
48,0.99998593,1.4034166e-05,Cancer,1,1
49,0.99996626,3.3745717e-05,Cancer,1,1
50,0.9999939,6.137089e-06,Cancer,1,1
51,0.99995637,4.361097e-05,Cancer,1,1
52,0.99618286,0.0038170838,Cancer,1,1
53,0.9999492,5.0752486e-05,Cancer,1,1
54,0.9999794,2.059141e-05,Cancer,1,1
55,0.9995129,0.00048708625,Cancer,1,1
56,0.9972077,0.002792302,Cancer,1,1
57,0.99842656,0.0015734995,Cancer,1,1
58,0.9998673,0.00013267985,Cancer,1,1
59,0.99991584,8.416281e-05,Cancer,1,1
60,0.99992514,7.486993e-05,Cancer,1,1
61,0.999876,0.00012390652,Cancer,1,1
62,0.98225695,0.017743047,Cancer,1,1
63,0.9999939,6.113734e-06,Cancer,1,1
64,0.9999707,2.929779e-05,Cancer,1,1
65,0.9999671,3.293694e-05,Cancer,1,1
66,0.9998598,0.00014015392,Cancer,1,1
67,0.9982582,0.0017418849,Cancer,1,1
68,0.99985206,0.00014796216,Cancer,1,1
69,0.99998295,1.7024504e-05,Cancer,1,1
70,0.99063885,0.009361191,Cancer,1,1
71,0.999969,3.1005253e-05,Cancer,1,1
72,0.9999889,1.1028138e-05,Cancer,1,1
73,0.99940836,0.0005916596,Cancer,1,1
74,0.99940324,0.0005968213,Cancer,1,1
75,0.99993443,6.55334e-05,Cancer,1,1
76,0.9999833,1.6635293e-05,Cancer,1,1
77,0.9999844,1.5660178e-05,Cancer,1,1
78,0.98902065,0.0109793125,Cancer,1,1
79,0.9998343,0.00016561501,Cancer,1,1
80,0.99912304,0.0008770195,Cancer,1,1
81,0.9999199,8.012498e-05,Cancer,1,1
82,0.9997054,0.00029463618,Cancer,1,1
83,0.9999763,2.3752424e-05,Cancer,1,1
84,0.99999714,2.8924753e-06,Cancer,1,1
85,0.9999515,4.849386e-05,Cancer,1,1
86,0.99996424,3.5762394e-05,Cancer,1,1
87,0.99990916,9.080395e-05,Cancer,1,1
88,0.77939934,0.22060066,Cancer,1,1
89,0.99998105,1.8982773e-05,Cancer,1,1
90,0.9998485,0.00015154528,Cancer,1,1
91,0.9999788,2.1214848e-05,Cancer,1,1
92,0.9974739,0.0025260504,Cancer,1,1
93,0.9999788,2.1234238e-05,Cancer,1,1
94,0.9977729,0.0022271348,Cancer,1,1
95,0.9999378,6.223373e-05,Cancer,1,1
96,0.9999391,6.096797e-05,Cancer,1,1
97,0.99998176,1.8261593e-05,Cancer,1,1
98,0.9999219,7.807283e-05,Cancer,1,1
99,0.9986921,0.0013079342,Cancer,1,1
100,0.99642414,0.0035758927,Cancer,1,1
101,0.995583,0.004416977,Cancer,1,1
102,0.99999714,2.9101445e-06,Cancer,1,1
103,0.9999814,1.8648529e-05,Cancer,1,1
104,0.99838626,0.0016136926,Cancer,1,1
105,0.9984303,0.0015696902,Cancer,1,1
106,0.99812466,0.0018753634,Cancer,1,1
107,0.9994679,0.0005320918,Cancer,1,1
108,0.99960357,0.00039643043,Cancer,1,1
109,0.9994918,0.0005081221,Cancer,1,1
110,0.99990416,9.582788e-05,Cancer,1,1
111,0.99912554,0.0008745044,Cancer,1,1
112,0.96789986,0.032100115,Cancer,1,1
113,0.9999287,7.125465e-05,Cancer,1,1
114,0.9934975,0.0065024793,Cancer,1,1
115,0.9998623,0.00013769219,Cancer,1,1
116,0.99895215,0.0010477923,Cancer,1,1
117,0.9492813,0.050718725,Cancer,1,1
118,0.99946886,0.00053116755,Cancer,1,1
119,0.9999081,9.195802e-05,Cancer,1,1
120,0.9976089,0.0023910757,Cancer,1,1
121,0.9999796,2.0421643e-05,Cancer,1,1
122,0.99545246,0.004547514,Cancer,1,1
123,0.99315274,0.006847243,Cancer,1,1
124,0.9999651,3.4926765e-05,Cancer,1,1
125,0.99993277,6.72429e-05,Cancer,1,1
126,0.9928267,0.007173271,Cancer,1,1
127,0.9998512,0.00014872271,Cancer,1,1
128,0.9999534,4.6645342e-05,Cancer,1,1
129,0.99962497,0.00037502596,Cancer,1,1
130,0.9996166,0.0003833647,Cancer,1,1
131,0.9993813,0.000618707,Cancer,1,1
132,0.99971944,0.00028049003,Cancer,1,1
133,0.9999958,4.2038237e-06,Cancer,1,1
134,0.9918705,0.008129494,Cancer,1,1
135,0.9999784,2.1550159e-05,Cancer,1,1
136,0.9999771,2.2940127e-05,Cancer,1,1
137,0.9994122,0.00058788585,Cancer,1,1
138,0.99792385,0.002076138,Cancer,1,1
139,0.9985083,0.0014917275,Cancer,1,1
140,0.9998574,0.00014255168,Cancer,1,1
141,0.9879411,0.012058903,Cancer,1,1
142,0.9996593,0.0003407001,Cancer,1,1
143,0.99998784,1.2165079e-05,Cancer,1,1
144,0.9998783,0.00012168661,Cancer,1,1
145,0.999944,5.602323e-05,Cancer,1,1
146,0.9964976,0.003502398,Cancer,1,1
147,0.9999869,1.3106469e-05,Cancer,1,1
148,0.99785393,0.0021460515,Cancer,1,1
149,0.9999443,5.5620894e-05,Cancer,1,1
150,0.9974383,0.0025616847,Cancer,1,1
151,0.9938769,0.0061231325,Cancer,1,1
