"cell.names","copykat.pred","pred","label","freq_cancer","freq_non_cancer"
"Lib90_00000","diploid",0,1,NA,NA
"Lib90_00001","diploid",0,1,NA,NA
"Lib90_00002","aneuploid",1,1,NA,NA
"Lib90_00003","diploid",0,1,NA,NA
"Lib90_00004","diploid",0,1,NA,NA
"Lib90_00005","diploid",0,1,NA,NA
"Lib90_00006","diploid",0,1,NA,NA
"Lib90_00007","diploid",0,1,NA,NA
"Lib90_00008","diploid",0,1,NA,NA
"Lib90_00009","aneuploid",1,1,NA,NA
"Lib90_00010","aneuploid",1,1,NA,NA
"Lib90_00011","aneuploid",1,1,NA,NA
"Lib90_00012","diploid",0,1,NA,NA
"Lib90_00013","diploid",0,1,NA,NA
"Lib90_00014","diploid",0,1,NA,NA
"Lib90_00015","diploid",0,1,NA,NA
"Lib90_00016","diploid",0,1,NA,NA
"Lib90_00017","diploid",0,1,NA,NA
"Lib90_00018","diploid",0,1,NA,NA
"Lib90_00019","diploid",0,1,NA,NA
"Lib90_00020","aneuploid",1,1,NA,NA
"Lib90_00021","diploid",0,1,NA,NA
"Lib90_00022","diploid",0,1,NA,NA
"Lib90_00023","aneuploid",1,1,NA,NA
"Lib90_00024","aneuploid",1,1,NA,NA
"Lib90_00025","diploid",0,1,NA,NA
"Lib90_00026","diploid",0,1,NA,NA
"Lib90_00027","diploid",0,1,NA,NA
"Lib90_00028","diploid",0,1,NA,NA
"Lib90_00029","diploid",0,1,NA,NA
"Lib90_00030","diploid",0,1,NA,NA
"Lib90_00031","diploid",0,1,NA,NA
"Lib90_00032","diploid",0,1,NA,NA
"Lib90_00033","diploid",0,1,NA,NA
"Lib90_00034","diploid",0,1,NA,NA
"Lib90_00035","aneuploid",1,1,NA,NA
"Lib90_00036","diploid",0,1,NA,NA
"Lib90_00037","aneuploid",1,1,NA,NA
"Lib90_00038","diploid",0,1,NA,NA
"Lib90_00039","diploid",0,1,NA,NA
"Lib90_00040","diploid",0,1,NA,NA
"Lib90_00041","aneuploid",1,1,NA,NA
"Lib90_00042","diploid",0,1,NA,NA
"Lib90_00043","diploid",0,1,NA,NA
"Lib90_00044","diploid",0,1,NA,NA
"Lib90_00045","diploid",0,1,NA,NA
"Lib90_00046","aneuploid",1,1,NA,NA
"Lib90_00047","diploid",0,1,NA,NA
"Lib90_00048","diploid",0,1,NA,NA
"Lib90_00049","diploid",0,1,NA,NA
"Lib90_00050","diploid",0,1,NA,NA
"Lib90_00051","diploid",0,1,NA,NA
"Lib90_00052","diploid",0,1,NA,NA
"Lib90_00053","diploid",0,1,NA,NA
"Lib90_00054","diploid",0,1,NA,NA
"Lib90_00055","diploid",0,1,NA,NA
"Lib90_00056","aneuploid",1,1,NA,NA
"Lib90_00057","aneuploid",1,1,NA,NA
"Lib90_00058","diploid",0,1,NA,NA
"Lib90_00059","diploid",0,1,NA,NA
"Lib90_00060","diploid",0,1,NA,NA
"Lib90_00061","diploid",0,1,NA,NA
"Lib90_00062","aneuploid",1,1,NA,NA
"Lib90_00063","diploid",0,1,NA,NA
"Lib90_00064","diploid",0,1,NA,NA
"Lib90_00065","diploid",0,1,NA,NA
"Lib90_00066","diploid",0,1,NA,NA
"Lib90_00067","aneuploid",1,1,NA,NA
"Lib90_00068","diploid",0,1,NA,NA
"Lib90_00069","diploid",0,1,NA,NA
"Lib90_00070","aneuploid",1,1,NA,NA
"Lib90_00071","diploid",0,1,NA,NA
"Lib90_00072","diploid",0,1,NA,NA
"Lib90_00073","diploid",0,1,NA,NA
"Lib90_00074","diploid",0,1,NA,NA
"Lib90_00075","diploid",0,1,NA,NA
"Lib90_00076","diploid",0,1,NA,NA
"Lib90_00077","diploid",0,1,NA,NA
"Lib90_00078","aneuploid",1,1,NA,NA
"Lib90_00079","diploid",0,1,NA,NA
"Lib90_00080","diploid",0,1,NA,NA
"Lib90_00081","diploid",0,1,NA,NA
"Lib90_00082","diploid",0,1,NA,NA
"Lib90_00083","diploid",0,1,NA,NA
"Lib90_00084","diploid",0,1,NA,NA
"Lib90_00085","diploid",0,1,NA,NA
"Lib90_00086","diploid",0,1,NA,NA
"Lib90_00087","diploid",0,1,NA,NA
"Lib90_00088","aneuploid",1,1,NA,NA
"Lib90_00089","diploid",0,1,NA,NA
"Lib90_00090","diploid",0,1,NA,NA
"Lib90_00091","diploid",0,1,NA,NA
"Lib90_00092","aneuploid",1,1,NA,NA
"Lib90_00093","diploid",0,1,NA,NA
"Lib90_00094","aneuploid",1,1,NA,NA
"Lib90_00095","diploid",0,1,NA,NA
"Lib90_00096","diploid",0,1,NA,NA
"Lib90_00097","diploid",0,1,NA,NA
"Lib90_00098","diploid",0,1,NA,NA
"Lib90_00099","aneuploid",1,1,NA,NA
"Lib90_00100","diploid",0,1,NA,NA
"Lib90_00101","aneuploid",1,1,NA,NA
"Lib90_00102","diploid",0,1,NA,NA
"Lib90_00103","diploid",0,1,NA,NA
"Lib90_00104","diploid",0,1,NA,NA
"Lib90_00105","aneuploid",1,1,NA,NA
"Lib90_00106","aneuploid",1,1,NA,NA
"Lib90_00107","diploid",0,1,NA,NA
"Lib90_00108","diploid",0,1,NA,NA
"Lib90_00109","diploid",0,1,NA,NA
"Lib90_00110","diploid",0,1,NA,NA
"Lib90_00111","diploid",0,1,NA,NA
"Lib90_00112","aneuploid",1,1,NA,NA
"Lib90_00113","diploid",0,1,NA,NA
"Lib90_00114","aneuploid",1,1,NA,NA
"Lib90_00115","diploid",0,1,NA,NA
"Lib90_00116","aneuploid",1,1,NA,NA
"Lib90_00117","aneuploid",1,1,NA,NA
"Lib90_00118","diploid",0,1,NA,NA
"Lib90_00119","diploid",0,1,NA,NA
"Lib90_00120","aneuploid",1,1,NA,NA
"Lib90_00121","diploid",0,1,NA,NA
"Lib90_00122","aneuploid",1,1,NA,NA
"Lib90_00123","aneuploid",1,1,NA,NA
"Lib90_00124","diploid",0,1,NA,NA
"Lib90_00125","diploid",0,1,NA,NA
"Lib90_00126","aneuploid",1,1,NA,NA
"Lib90_00127","diploid",0,1,NA,NA
"Lib90_00128","diploid",0,1,NA,NA
"Lib90_00129","diploid",0,1,NA,NA
"Lib90_00130","diploid",0,1,NA,NA
"Lib90_00131","aneuploid",1,1,NA,NA
"Lib90_00132","diploid",0,1,NA,NA
"Lib90_00133","diploid",0,1,NA,NA
"Lib90_00134","aneuploid",1,1,NA,NA
"Lib90_00135","diploid",0,1,NA,NA
"Lib90_00136","diploid",0,1,NA,NA
"Lib90_00137","aneuploid",1,1,NA,NA
"Lib90_00138","aneuploid",1,1,NA,NA
"Lib90_00139","aneuploid",1,1,NA,NA
"Lib90_00140","diploid",0,1,NA,NA
"Lib90_00141","aneuploid",1,1,NA,NA
"Lib90_00142","diploid",0,1,NA,NA
"Lib90_00143","diploid",0,1,NA,NA
"Lib90_00144","aneuploid",1,1,NA,NA
"Lib90_00145","diploid",0,1,NA,NA
"Lib90_00146","aneuploid",1,1,NA,NA
"Lib90_00147","diploid",0,1,NA,NA
"Lib90_00148","diploid",0,1,NA,NA
"Lib90_00149","diploid",0,1,NA,NA
"Lib90_00150","aneuploid",1,1,NA,NA
"Lib90_00151","aneuploid",1,1,NA,NA
"Lib90_00152","diploid",0,1,NA,NA
"Lib90_00153","diploid",0,1,NA,NA
"Lib90_00154","aneuploid",1,1,NA,NA
"Lib90_00155","aneuploid",1,1,NA,NA
"Lib90_00156","aneuploid",1,1,NA,NA
"Lib90_00157","diploid",0,1,NA,NA
"Lib90_00158","aneuploid",1,1,NA,NA
"Lib90_00159","aneuploid",1,1,NA,NA
"Lib90_00160","diploid",0,1,NA,NA
"Lib90_00161","diploid",0,1,NA,NA
"Lib90_00162","diploid",0,1,NA,NA
"Lib90_00163","diploid",0,1,NA,NA
"Lib90_00164","diploid",0,1,NA,NA
"Lib90_00165","diploid",0,1,NA,NA
"Lib90_00166","diploid",0,1,NA,NA
"Lib90_00167","aneuploid",1,1,NA,NA
"Lib90_00168","diploid",0,1,NA,NA
"Lib90_00169","aneuploid",1,1,NA,NA
"Lib90_00170","aneuploid",1,1,NA,NA
"Lib90_00171","diploid",0,1,NA,NA
"Lib90_00172","aneuploid",1,1,NA,NA
"Lib90_00173","diploid",0,1,NA,NA
"Lib90_00174","diploid",0,1,NA,NA
"Lib90_00175","diploid",0,1,NA,NA
