Sample,freq_cancer,freq_non_cancer,pred_label,pred,label
Lib90_00000,1.0,0.0,cancer,1,1
Lib90_00001,1.0,0.0,cancer,1,1
Lib90_00002,0.8,0.2,cancer,1,1
Lib90_00003,1.0,0.0,cancer,1,1
Lib90_00004,1.0,0.0,cancer,1,1
Lib90_00005,1.0,0.0,cancer,1,1
Lib90_00006,1.0,0.0,cancer,1,1
Lib90_00007,1.0,0.0,cancer,1,1
Lib90_00008,1.0,0.0,cancer,1,1
Lib90_00009,0.8,0.2,cancer,1,1
Lib90_00010,1.0,0.0,cancer,1,1
Lib90_00011,1.0,0.0,cancer,1,1
Lib90_00012,1.0,0.0,cancer,1,1
Lib90_00013,1.0,0.0,cancer,1,1
Lib90_00014,1.0,0.0,cancer,1,1
Lib90_00015,1.0,0.0,cancer,1,1
Lib90_00016,1.0,0.0,cancer,1,1
Lib90_00017,1.0,0.0,cancer,1,1
Lib90_00018,1.0,0.0,cancer,1,1
Lib90_00019,1.0,0.0,cancer,1,1
Lib90_00020,1.0,0.0,cancer,1,1
Lib90_00021,1.0,0.0,cancer,1,1
Lib90_00022,1.0,0.0,cancer,1,1
Lib90_00023,1.0,0.0,cancer,1,1
Lib90_00024,1.0,0.0,cancer,1,1
Lib90_00025,1.0,0.0,cancer,1,1
Lib90_00026,1.0,0.0,cancer,1,1
Lib90_00027,1.0,0.0,cancer,1,1
Lib90_00028,1.0,0.0,cancer,1,1
Lib90_00029,1.0,0.0,cancer,1,1
Lib90_00030,1.0,0.0,cancer,1,1
Lib90_00031,1.0,0.0,cancer,1,1
Lib90_00032,1.0,0.0,cancer,1,1
Lib90_00033,1.0,0.0,cancer,1,1
Lib90_00034,1.0,0.0,cancer,1,1
Lib90_00035,0.8,0.2,cancer,1,1
Lib90_00036,1.0,0.0,cancer,1,1
Lib90_00037,1.0,0.0,cancer,1,1
Lib90_00038,1.0,0.0,cancer,1,1
Lib90_00039,1.0,0.0,cancer,1,1
Lib90_00040,1.0,0.0,cancer,1,1
Lib90_00041,1.0,0.0,cancer,1,1
Lib90_00042,1.0,0.0,cancer,1,1
Lib90_00043,1.0,0.0,cancer,1,1
Lib90_00044,1.0,0.0,cancer,1,1
Lib90_00045,1.0,0.0,cancer,1,1
Lib90_00046,1.0,0.0,cancer,1,1
Lib90_00047,1.0,0.0,cancer,1,1
Lib90_00048,1.0,0.0,cancer,1,1
Lib90_00049,1.0,0.0,cancer,1,1
Lib90_00050,1.0,0.0,cancer,1,1
Lib90_00051,1.0,0.0,cancer,1,1
Lib90_00052,0.8,0.2,cancer,1,1
Lib90_00053,1.0,0.0,cancer,1,1
Lib90_00054,1.0,0.0,cancer,1,1
Lib90_00055,1.0,0.0,cancer,1,1
Lib90_00056,1.0,0.0,cancer,1,1
Lib90_00057,1.0,0.0,cancer,1,1
Lib90_00058,1.0,0.0,cancer,1,1
Lib90_00059,1.0,0.0,cancer,1,1
Lib90_00060,1.0,0.0,cancer,1,1
Lib90_00061,1.0,0.0,cancer,1,1
Lib90_00062,0.8,0.2,cancer,1,1
Lib90_00063,1.0,0.0,cancer,1,1
Lib90_00064,1.0,0.0,cancer,1,1
Lib90_00065,1.0,0.0,cancer,1,1
Lib90_00066,1.0,0.0,cancer,1,1
Lib90_00067,1.0,0.0,cancer,1,1
Lib90_00068,1.0,0.0,cancer,1,1
Lib90_00069,1.0,0.0,cancer,1,1
Lib90_00070,1.0,0.0,cancer,1,1
Lib90_00071,1.0,0.0,cancer,1,1
Lib90_00072,1.0,0.0,cancer,1,1
Lib90_00073,1.0,0.0,cancer,1,1
Lib90_00074,1.0,0.0,cancer,1,1
Lib90_00075,1.0,0.0,cancer,1,1
Lib90_00076,1.0,0.0,cancer,1,1
Lib90_00077,1.0,0.0,cancer,1,1
Lib90_00078,1.0,0.0,cancer,1,1
Lib90_00079,0.8,0.2,cancer,1,1
Lib90_00080,1.0,0.0,cancer,1,1
Lib90_00081,1.0,0.0,cancer,1,1
Lib90_00082,1.0,0.0,cancer,1,1
Lib90_00083,0.8,0.2,cancer,1,1
Lib90_00084,1.0,0.0,cancer,1,1
Lib90_00085,1.0,0.0,cancer,1,1
Lib90_00086,1.0,0.0,cancer,1,1
Lib90_00087,1.0,0.0,cancer,1,1
Lib90_00088,1.0,0.0,cancer,1,1
Lib90_00089,1.0,0.0,cancer,1,1
Lib90_00090,0.8,0.2,cancer,1,1
Lib90_00091,1.0,0.0,cancer,1,1
Lib90_00092,1.0,0.0,cancer,1,1
Lib90_00093,1.0,0.0,cancer,1,1
Lib90_00094,1.0,0.0,cancer,1,1
Lib90_00095,1.0,0.0,cancer,1,1
Lib90_00096,1.0,0.0,cancer,1,1
Lib90_00097,1.0,0.0,cancer,1,1
Lib90_00098,1.0,0.0,cancer,1,1
Lib90_00099,1.0,0.0,cancer,1,1
Lib90_00100,0.8,0.2,cancer,1,1
Lib90_00101,1.0,0.0,cancer,1,1
Lib90_00102,1.0,0.0,cancer,1,1
Lib90_00103,1.0,0.0,cancer,1,1
Lib90_00104,0.6,0.4,cancer,1,1
Lib90_00105,1.0,0.0,cancer,1,1
Lib90_00106,1.0,0.0,cancer,1,1
Lib90_00107,1.0,0.0,cancer,1,1
Lib90_00108,1.0,0.0,cancer,1,1
Lib90_00109,1.0,0.0,cancer,1,1
Lib90_00110,1.0,0.0,cancer,1,1
Lib90_00111,0.8,0.2,cancer,1,1
Lib90_00112,1.0,0.0,cancer,1,1
Lib90_00113,1.0,0.0,cancer,1,1
Lib90_00114,1.0,0.0,cancer,1,1
Lib90_00115,1.0,0.0,cancer,1,1
Lib90_00116,1.0,0.0,cancer,1,1
Lib90_00117,1.0,0.0,cancer,1,1
Lib90_00118,0.8,0.2,cancer,1,1
Lib90_00119,1.0,0.0,cancer,1,1
Lib90_00120,1.0,0.0,cancer,1,1
