"Row.names","class","confidentNormal","pred","label","freq_cancer","freq_non_cancer"
"Lib90_00000","tumor",NA,1,1,NA,NA
"Lib90_00001","tumor",NA,1,1,NA,NA
"Lib90_00002","tumor",NA,1,1,NA,NA
"Lib90_00003","tumor",NA,1,1,NA,NA
"Lib90_00004","tumor",NA,1,1,NA,NA
"Lib90_00005","tumor",NA,1,1,NA,NA
"Lib90_00006","tumor",NA,1,1,NA,NA
"Lib90_00007","tumor",NA,1,1,NA,NA
"Lib90_00008","tumor",NA,1,1,NA,NA
"Lib90_00009","tumor",NA,1,1,NA,NA
"Lib90_00010","tumor",NA,1,1,NA,NA
"Lib90_00011","tumor",NA,1,1,NA,NA
"Lib90_00012","tumor",NA,1,1,NA,NA
"Lib90_00013","tumor",NA,1,1,NA,NA
"Lib90_00014","tumor",NA,1,1,NA,NA
"Lib90_00015","tumor",NA,1,1,NA,NA
"Lib90_00016","tumor",NA,1,1,NA,NA
"Lib90_00017","tumor",NA,1,1,NA,NA
"Lib90_00018","tumor",NA,1,1,NA,NA
"Lib90_00019","tumor",NA,1,1,NA,NA
"Lib90_00020","tumor",NA,1,1,NA,NA
"Lib90_00021","tumor",NA,1,1,NA,NA
"Lib90_00022","tumor",NA,1,1,NA,NA
"Lib90_00023","tumor",NA,1,1,NA,NA
"Lib90_00024","tumor",NA,1,1,NA,NA
"Lib90_00025","tumor",NA,1,1,NA,NA
"Lib90_00026","tumor",NA,1,1,NA,NA
"Lib90_00027","tumor",NA,1,1,NA,NA
"Lib90_00028","tumor",NA,1,1,NA,NA
"Lib90_00029","tumor",NA,1,1,NA,NA
"Lib90_00030","tumor",NA,1,1,NA,NA
"Lib90_00031","tumor",NA,1,1,NA,NA
"Lib90_00032","tumor",NA,1,1,NA,NA
"Lib90_00033","tumor",NA,1,1,NA,NA
"Lib90_00034","tumor",NA,1,1,NA,NA
"Lib90_00035","tumor",NA,1,1,NA,NA
"Lib90_00036","tumor",NA,1,1,NA,NA
"Lib90_00037","tumor",NA,1,1,NA,NA
"Lib90_00038","tumor",NA,1,1,NA,NA
"Lib90_00039","tumor",NA,1,1,NA,NA
"Lib90_00040","tumor",NA,1,1,NA,NA
"Lib90_00041","tumor",NA,1,1,NA,NA
"Lib90_00042","tumor",NA,1,1,NA,NA
"Lib90_00043","tumor",NA,1,1,NA,NA
"Lib90_00044","tumor",NA,1,1,NA,NA
"Lib90_00045","tumor",NA,1,1,NA,NA
"Lib90_00046","tumor",NA,1,1,NA,NA
"Lib90_00047","tumor",NA,1,1,NA,NA
"Lib90_00048","tumor",NA,1,1,NA,NA
"Lib90_00049","tumor",NA,1,1,NA,NA
"Lib90_00050","tumor",NA,1,1,NA,NA
"Lib90_00051","tumor",NA,1,1,NA,NA
"Lib90_00052","tumor",NA,1,1,NA,NA
"Lib90_00053","tumor",NA,1,1,NA,NA
"Lib90_00054","tumor",NA,1,1,NA,NA
"Lib90_00055","tumor",NA,1,1,NA,NA
"Lib90_00056","tumor",NA,1,1,NA,NA
"Lib90_00057","tumor",NA,1,1,NA,NA
"Lib90_00058","tumor",NA,1,1,NA,NA
"Lib90_00059","tumor",NA,1,1,NA,NA
"Lib90_00060","tumor",NA,1,1,NA,NA
"Lib90_00061","tumor",NA,1,1,NA,NA
"Lib90_00062","tumor",NA,1,1,NA,NA
"Lib90_00063","tumor",NA,1,1,NA,NA
"Lib90_00064","tumor",NA,1,1,NA,NA
"Lib90_00065","tumor",NA,1,1,NA,NA
"Lib90_00066","tumor",NA,1,1,NA,NA
"Lib90_00067","tumor",NA,1,1,NA,NA
"Lib90_00068","tumor",NA,1,1,NA,NA
"Lib90_00069","tumor",NA,1,1,NA,NA
"Lib90_00070","tumor",NA,1,1,NA,NA
"Lib90_00071","tumor",NA,1,1,NA,NA
"Lib90_00072","tumor",NA,1,1,NA,NA
"Lib90_00073","tumor",NA,1,1,NA,NA
"Lib90_00074","tumor",NA,1,1,NA,NA
"Lib90_00075","tumor",NA,1,1,NA,NA
"Lib90_00076","tumor",NA,1,1,NA,NA
"Lib90_00077","tumor",NA,1,1,NA,NA
"Lib90_00078","tumor",NA,1,1,NA,NA
"Lib90_00079","normal",NA,0,1,NA,NA
"Lib90_00080","tumor",NA,1,1,NA,NA
"Lib90_00081","tumor",NA,1,1,NA,NA
"Lib90_00082","tumor",NA,1,1,NA,NA
"Lib90_00083","tumor",NA,1,1,NA,NA
"Lib90_00084","tumor",NA,1,1,NA,NA
"Lib90_00085","tumor",NA,1,1,NA,NA
"Lib90_00086","tumor",NA,1,1,NA,NA
"Lib90_00087","tumor",NA,1,1,NA,NA
"Lib90_00088","tumor",NA,1,1,NA,NA
"Lib90_00089","tumor",NA,1,1,NA,NA
"Lib90_00090","tumor",NA,1,1,NA,NA
