,freq_cancer,freq_non_cancer,pred_label,pred,label
0,0.035377365,0.9646226,Normal,0,1
1,0.0033756674,0.99662435,Normal,0,0
2,0.024626177,0.9753738,Normal,0,1
3,0.02107322,0.97892684,Normal,0,0
4,0.065216534,0.9347835,Normal,0,1
5,0.00020218882,0.9997979,Normal,0,0
6,0.03705649,0.9629435,Normal,0,1
7,0.15780246,0.8421975,Normal,0,0
8,0.0063923444,0.99360764,Normal,0,0
9,0.0019268072,0.9980732,Normal,0,1
10,0.6832922,0.31670785,Cancer,1,0
11,0.24023233,0.7597677,Normal,0,0
12,0.014085966,0.985914,Normal,0,0
13,0.2620444,0.7379556,Normal,0,0
14,0.12399651,0.8760035,Normal,0,1
15,0.10360063,0.8963993,Normal,0,0
16,0.0007630029,0.99923706,Normal,0,0
17,0.0013385913,0.9986614,Normal,0,0
18,0.00077264506,0.9992274,Normal,0,1
19,0.010903217,0.98909676,Normal,0,0
20,0.84326816,0.1567319,Cancer,1,1
21,0.01698934,0.98301065,Normal,0,0
22,7.9102574e-05,0.99992085,Normal,0,0
23,0.014299848,0.98570013,Normal,0,0
24,0.01826436,0.98173565,Normal,0,0
25,0.023034656,0.9769653,Normal,0,0
26,0.005382977,0.99461704,Normal,0,0
27,1.1692177e-05,0.9999883,Normal,0,0
28,0.21464913,0.7853509,Normal,0,1
29,0.02805659,0.9719434,Normal,0,1
30,5.967977e-06,0.99999404,Normal,0,0
31,0.5532926,0.4467074,Cancer,1,1
32,0.59439427,0.40560567,Cancer,1,1
33,0.029559173,0.97044086,Normal,0,0
34,2.6719805e-05,0.9999733,Normal,0,0
35,0.0006290724,0.999371,Normal,0,0
36,0.0056103347,0.9943897,Normal,0,1
37,0.00021726209,0.99978274,Normal,0,0
38,0.56940013,0.4305998,Cancer,1,0
39,0.5708238,0.42917627,Cancer,1,1
40,0.6515615,0.34843847,Cancer,1,1
41,0.22978365,0.77021635,Normal,0,1
42,0.018127967,0.981872,Normal,0,1
43,0.0023174842,0.99768245,Normal,0,0
44,0.0033716483,0.99662834,Normal,0,0
45,0.0075041,0.9924959,Normal,0,1
