,freq_cancer,freq_non_cancer,pred_label,pred,label
0,0.7942837,0.20571631,Cancer,1,1
1,0.6847522,0.3152477,Cancer,1,1
2,0.9634105,0.036589526,Cancer,1,1
3,0.9267285,0.0732715,Cancer,1,1
4,0.87164104,0.12835896,Cancer,1,1
5,0.9969103,0.0030897758,Cancer,1,1
6,0.987068,0.012932009,Cancer,1,1
7,0.8994095,0.10059051,Cancer,1,1
8,0.98678607,0.013214003,Cancer,1,1
9,0.8134848,0.18651518,Cancer,1,1
10,0.8416003,0.15839972,Cancer,1,1
11,0.99156696,0.0084330095,Cancer,1,1
12,0.9584513,0.04154868,Cancer,1,1
13,0.9633711,0.036628824,Cancer,1,1
14,0.9970138,0.0029862388,Cancer,1,1
15,0.80952334,0.19047669,Cancer,1,1
16,0.999166,0.00083399366,Cancer,1,1
17,0.76986593,0.23013403,Cancer,1,1
18,0.9722331,0.027766922,Cancer,1,1
19,0.9639657,0.03603426,Cancer,1,1
20,0.9987005,0.0012995006,Cancer,1,1
21,0.85927343,0.14072652,Cancer,1,1
22,0.98027533,0.019724654,Cancer,1,1
23,0.9988022,0.0011978277,Cancer,1,1
24,0.9435026,0.056497432,Cancer,1,1
25,0.97843575,0.021564275,Cancer,1,1
26,0.94470954,0.055290394,Cancer,1,1
27,0.9838351,0.016164858,Cancer,1,1
28,0.9632939,0.03670607,Cancer,1,1
29,0.95519495,0.044805016,Cancer,1,1
30,0.90506345,0.09493657,Cancer,1,1
31,0.98966193,0.010338027,Cancer,1,1
32,0.98891526,0.011084803,Cancer,1,1
33,0.97997504,0.020024987,Cancer,1,1
34,0.995874,0.0041260705,Cancer,1,1
35,0.9805996,0.019400384,Cancer,1,1
36,0.8252307,0.17476928,Cancer,1,1
37,0.79751515,0.20248486,Cancer,1,1
38,0.71627164,0.28372833,Cancer,1,1
39,0.9981823,0.0018177589,Cancer,1,1
40,0.9739174,0.026082562,Cancer,1,1
41,0.8916932,0.10830679,Cancer,1,1
42,0.9984785,0.0015215019,Cancer,1,1
43,0.9893714,0.010628591,Cancer,1,1
44,0.7488187,0.2511813,Cancer,1,1
45,0.93375653,0.06624344,Cancer,1,1
46,0.9197883,0.0802117,Cancer,1,1
47,0.9558507,0.044149335,Cancer,1,1
48,0.8782882,0.12171183,Cancer,1,1
49,0.9103222,0.089677796,Cancer,1,1
50,0.9912747,0.008725256,Cancer,1,1
51,0.93840903,0.06159101,Cancer,1,1
52,0.97728366,0.022716317,Cancer,1,1
53,0.9738626,0.026137345,Cancer,1,1
54,0.95822924,0.041770715,Cancer,1,1
55,0.72135776,0.27864224,Cancer,1,1
56,0.99727255,0.002727403,Cancer,1,1
57,0.9789766,0.021023318,Cancer,1,1
58,0.8615767,0.1384233,Cancer,1,1
59,0.99164045,0.0083595095,Cancer,1,1
60,0.93364936,0.066350676,Cancer,1,1
61,0.990846,0.009154062,Cancer,1,1
62,0.9956886,0.0043113953,Cancer,1,1
63,0.32503346,0.6749665,Normal,0,1
64,0.9365709,0.06342912,Cancer,1,1
65,0.99283385,0.0071661086,Cancer,1,1
66,0.94965506,0.05034489,Cancer,1,1
67,0.95855325,0.041446812,Cancer,1,1
68,0.97797954,0.022020428,Cancer,1,1
69,0.99043465,0.009565388,Cancer,1,1
70,0.9987613,0.0012387655,Cancer,1,1
71,0.9961475,0.0038524345,Cancer,1,1
72,0.9822139,0.017786004,Cancer,1,1
73,0.94211954,0.057880394,Cancer,1,1
74,0.6711519,0.32884812,Cancer,1,1
75,0.29679897,0.70320106,Normal,0,1
76,0.97391224,0.026087793,Cancer,1,1
77,0.998033,0.0019669647,Cancer,1,1
78,0.94183874,0.05816127,Cancer,1,1
79,0.98648435,0.013515621,Cancer,1,1
80,0.98144174,0.018558316,Cancer,1,1
81,0.9781653,0.021834677,Cancer,1,1
82,0.8667394,0.1332606,Cancer,1,1
83,0.9965491,0.0034507986,Cancer,1,1
84,0.9802909,0.019709045,Cancer,1,1
85,0.9747771,0.025222886,Cancer,1,1
86,0.97134477,0.028655224,Cancer,1,1
87,0.9957665,0.00423343,Cancer,1,1
88,0.98844856,0.011551406,Cancer,1,1
89,0.9717373,0.028262626,Cancer,1,1
90,0.4813535,0.51864654,Normal,0,1
91,0.99495465,0.005045364,Cancer,1,1
92,0.9939547,0.0060452376,Cancer,1,1
93,0.61226714,0.38773292,Cancer,1,1
94,0.98608714,0.013912803,Cancer,1,1
95,0.9793113,0.02068873,Cancer,1,1
96,0.8255556,0.17444438,Cancer,1,1
97,0.9873771,0.012622834,Cancer,1,1
98,0.9527138,0.04728613,Cancer,1,1
99,0.9854081,0.014591846,Cancer,1,1
100,0.98782116,0.012178819,Cancer,1,1
101,0.8685132,0.13148676,Cancer,1,1
102,0.98202926,0.017970718,Cancer,1,1
103,0.978964,0.021036081,Cancer,1,1
104,0.99444395,0.0055560893,Cancer,1,1
105,0.6856477,0.3143522,Cancer,1,1
106,0.9257529,0.07424708,Cancer,1,1
107,0.8778672,0.12213278,Cancer,1,1
108,0.9741523,0.02584767,Cancer,1,1
109,0.7545275,0.24547254,Cancer,1,1
110,0.9976445,0.0023554685,Cancer,1,1
111,0.8931751,0.10682487,Cancer,1,1
112,0.99962485,0.00037512035,Cancer,1,1
113,0.86809736,0.13190265,Cancer,1,1
114,0.95058364,0.04941633,Cancer,1,1
115,0.9052015,0.094798505,Cancer,1,1
116,0.98448807,0.015511969,Cancer,1,1
117,0.83418155,0.16581845,Cancer,1,1
118,0.65803516,0.34196484,Cancer,1,1
119,0.9891188,0.01088121,Cancer,1,1
120,0.9551898,0.04481015,Cancer,1,1
