,freq_cancer,freq_non_cancer,pred_label,pred,label
0,9.532031e-15,1.0,Normal,0,0
1,2.4716418e-11,1.0,Normal,0,0
2,0.8974728,0.10252723,Cancer,1,1
3,1.3296687e-10,1.0,Normal,0,0
4,5.7299143e-08,1.0,Normal,0,0
5,4.984228e-09,1.0,Normal,0,0
6,1.1227987e-10,1.0,Normal,0,0
7,0.23156375,0.76843625,Normal,0,0
8,5.8557645e-13,1.0,Normal,0,0
9,4.035712e-09,1.0,Normal,0,0
10,4.010255e-08,1.0,Normal,0,0
11,0.99233454,0.007665487,Cancer,1,1
12,5.779565e-10,1.0,Normal,0,0
13,4.489332e-10,1.0,Normal,0,0
14,1.11887e-09,1.0,Normal,0,0
15,2.875298e-11,1.0,Normal,0,0
16,1.3772307e-10,1.0,Normal,0,0
17,1.4823798e-10,1.0,Normal,0,0
18,2.11337e-06,0.99999785,Normal,0,0
19,4.000361e-12,1.0,Normal,0,0
20,1.434402e-08,1.0,Normal,0,0
21,4.2442455e-08,1.0,Normal,0,0
22,1.5059558e-07,0.9999999,Normal,0,0
23,2.098144e-06,0.99999785,Normal,0,0
24,4.887745e-11,1.0,Normal,0,0
25,1.0192135e-08,1.0,Normal,0,0
26,7.960867e-10,1.0,Normal,0,0
27,1.7106738e-09,1.0,Normal,0,0
28,6.272178e-09,1.0,Normal,0,0
29,5.3255195e-11,1.0,Normal,0,0
30,9.354283e-11,1.0,Normal,0,0
31,1.7622585e-09,1.0,Normal,0,0
32,1.2934832e-09,1.0,Normal,0,0
33,8.304842e-05,0.9999169,Normal,0,0
34,4.7776956e-09,1.0,Normal,0,0
35,7.245573e-11,1.0,Normal,0,0
36,1.2192096e-10,1.0,Normal,0,0
37,3.392078e-12,1.0,Normal,0,0
38,2.237572e-07,0.99999976,Normal,0,0
39,0.99414563,0.005854288,Cancer,1,0
40,1.4483121e-06,0.99999857,Normal,0,0
41,1.1939677e-12,1.0,Normal,0,0
42,8.862033e-11,1.0,Normal,0,0
43,2.0680388e-11,1.0,Normal,0,0
44,1.7961789e-10,1.0,Normal,0,0
45,2.398896e-13,1.0,Normal,0,0
46,2.7033784e-09,1.0,Normal,0,0
47,4.7693054e-11,1.0,Normal,0,0
48,4.6908973e-11,1.0,Normal,0,0
49,3.309672e-09,1.0,Normal,0,0
50,0.88654625,0.11345375,Cancer,1,1
51,7.411542e-11,1.0,Normal,0,0
52,2.0265796e-07,0.99999976,Normal,0,0
53,1.8139767e-12,1.0,Normal,0,0
54,1.9506499e-09,1.0,Normal,0,0
55,0.88940006,0.11059994,Cancer,1,0
56,3.8364774e-08,1.0,Normal,0,0
57,2.6901844e-07,0.99999976,Normal,0,0
58,0.00029826854,0.9997017,Normal,0,0
59,5.4149227e-09,1.0,Normal,0,0
60,4.4794802e-13,1.0,Normal,0,0
61,5.2809417e-05,0.9999472,Normal,0,0
62,3.2399562e-08,1.0,Normal,0,0
63,1.8250477e-08,1.0,Normal,0,0
64,3.526176e-11,1.0,Normal,0,0
65,0.93235475,0.06764524,Cancer,1,1
66,2.1406459e-09,1.0,Normal,0,0
67,1.1253205e-09,1.0,Normal,0,0
68,1.5976147e-11,1.0,Normal,0,0
69,3.0762409e-12,1.0,Normal,0,0
70,2.8721397e-08,1.0,Normal,0,0
71,2.0827834e-12,1.0,Normal,0,0
72,3.996319e-12,1.0,Normal,0,0
73,2.8689737e-09,1.0,Normal,0,0
74,1.2787392e-11,1.0,Normal,0,0
75,3.9629e-11,1.0,Normal,0,0
76,4.0884154e-11,1.0,Normal,0,0
77,7.2668904e-10,1.0,Normal,0,0
78,3.3837394e-10,1.0,Normal,0,0
79,1.307979e-13,1.0,Normal,0,0
80,0.53284544,0.4671546,Cancer,1,1
81,6.900231e-11,1.0,Normal,0,0
82,0.99679095,0.0032089772,Cancer,1,0
83,2.5484175e-07,0.99999976,Normal,0,0
84,2.403359e-07,0.99999976,Normal,0,0
85,2.4979493e-15,1.0,Normal,0,0
86,9.986893e-11,1.0,Normal,0,0
87,3.4580242e-12,1.0,Normal,0,0
88,2.0397055e-10,1.0,Normal,0,0
89,1.5166488e-09,1.0,Normal,0,0
90,7.947939e-06,0.999992,Normal,0,0
91,0.8804715,0.11952843,Cancer,1,1
92,1.2289741e-09,1.0,Normal,0,0
93,3.739574e-05,0.99996257,Normal,0,0
94,1.5958544e-11,1.0,Normal,0,0
95,1.2059671e-09,1.0,Normal,0,0
96,1.0051241e-09,1.0,Normal,0,0
97,1.6143031e-10,1.0,Normal,0,0
98,9.8955134e-08,0.9999999,Normal,0,0
99,2.152197e-11,1.0,Normal,0,0
100,6.7201467e-10,1.0,Normal,0,0
101,2.656179e-06,0.9999974,Normal,0,0
102,2.0245717e-12,1.0,Normal,0,0
103,4.7809503e-09,1.0,Normal,0,0
104,3.896722e-12,1.0,Normal,0,0
105,0.94142807,0.058571976,Cancer,1,1
106,6.984083e-08,0.9999999,Normal,0,0
107,2.377102e-09,1.0,Normal,0,0
108,6.4553163e-12,1.0,Normal,0,0
109,4.771564e-10,1.0,Normal,0,0
110,0.592301,0.40769893,Cancer,1,1
111,0.98983216,0.0101678055,Cancer,1,1
112,2.6781152e-11,1.0,Normal,0,0
113,4.06522e-11,1.0,Normal,0,0
114,1.425868e-10,1.0,Normal,0,0
115,1.7030298e-09,1.0,Normal,0,0
116,0.00014522282,0.9998548,Normal,0,0
117,3.724388e-09,1.0,Normal,0,0
118,4.4007183e-11,1.0,Normal,0,0
119,5.6467075e-09,1.0,Normal,0,0
120,2.1189169e-07,0.99999976,Normal,0,0
121,1.048796e-09,1.0,Normal,0,0
122,0.85103357,0.14896643,Cancer,1,1
123,5.1844775e-13,1.0,Normal,0,0
124,7.0545786e-10,1.0,Normal,0,0
125,2.6716346e-12,1.0,Normal,0,0
126,1.7704561e-12,1.0,Normal,0,0
127,0.3159092,0.6840908,Normal,0,1
128,6.9260423e-13,1.0,Normal,0,0
129,0.9919012,0.008098774,Cancer,1,1
130,0.904195,0.09580493,Cancer,1,1
131,3.870564e-13,1.0,Normal,0,0
132,1.6075145e-08,1.0,Normal,0,0
133,7.508693e-12,1.0,Normal,0,0
134,5.1739177e-09,1.0,Normal,0,0
135,7.979813e-09,1.0,Normal,0,0
136,3.8339154e-09,1.0,Normal,0,0
137,0.6270032,0.37299678,Cancer,1,1
138,9.3595576e-05,0.9999064,Normal,0,0
139,5.487917e-08,1.0,Normal,0,0
140,2.449999e-07,0.99999976,Normal,0,0
141,2.5576503e-06,0.9999975,Normal,0,0
142,9.554429e-13,1.0,Normal,0,0
143,2.5579003e-10,1.0,Normal,0,0
144,0.9907878,0.009212155,Cancer,1,1
145,1.9742939e-10,1.0,Normal,0,0
146,0.9483396,0.051660415,Cancer,1,1
147,2.0741027e-11,1.0,Normal,0,0
148,5.072737e-11,1.0,Normal,0,0
149,1.08459436e-10,1.0,Normal,0,0
