Dataset,Model,Accuracy,Recall,F1 Score,Precision,AUC
GSE109761,CanCell_Cap,0.9047619047619048,0.8840579710144928,0.9094656540777231,0.9283046112314405,0.9683753802111291
GSE109761,Cancer_Finder,0.8795518207282913,0.9420289855072463,0.8763413049927016,0.8754077240652358,0.9498568616926104
GSE109761,PreCanCell,0.8879551820728291,0.855072463768116,0.8946719777019718,0.9249947913049518,0.9630300590445517
GSE109761,SCEVAN,0.5266106442577031,0.39416058394160586,0.5458908333975792,0.8468948555031768,0.9630300590445517
GSE109761,CopyKAT,0.5266106442577031,0.39416058394160586,0.5458908333975792,0.8468948555031768,0.9630300590445517
GSE109761,ikarus,0.876750700280112,0.8405797101449275,0.8845756787540336,0.9201344537815126,0.9846126319556271
GSE130000_RAW,CanCell_Cap,0.9506910387873384,0.9696935556557008,0.9506325447654355,0.9505789483342235,0.9728370753882142
GSE130000_RAW,Cancer_Finder,0.9397235844850647,0.9792699414150519,0.9381134119889416,0.9387067770116032,0.9687226951503793
GSE130000_RAW,PreCanCell,0.7869817209094963,0.7541685443893645,0.8052668193915373,0.8707716344273361,0.9041829656850231
GSE130000_RAW,SCEVAN,0.5615693267944717,0.5554146588891706,0.621995810797473,0.846833343534738,0.9041829656850231
GSE130000_RAW,CopyKAT,0.2992420864913063,0.45266518600777345,0.38320576900201886,0.5408049323811478,0.9041829656850231
GSE130000_RAW,ikarus,0.8756130182790905,0.9141505182514646,0.8768267792815552,0.8783320180165115,0.7393425469067813
GSE141383_RAW,CanCell_Cap,0.9936311878799575,0.9951701191370613,0.9936631992039631,0.9937233534135325,0.9988561996605231
GSE141383_RAW,Cancer_Finder,0.9780951461931873,0.9801438231190297,0.9787112049929171,0.9801790131699588,0.9951060901237095
GSE141383_RAW,PreCanCell,0.5535076715236901,0.5044542234624879,0.6337147880924395,0.915653229801094,0.9361796966050873
GSE141383_RAW,SCEVAN,0.43240374408954935,0.4974339235309212,0.5493950007251087,0.9074759614723586,0.9361796966050873
GSE141383_RAW,CopyKAT,0.40306860947602047,0.4947068403908795,0.5255541708575132,0.9094695023345145,0.9361796966050873
GSE141383_RAW,ikarus,0.10093602238733958,0.0,0.01850803390606665,0.010188080615377517,0.9902629724935874
GSE146115_RAW,CanCell_Cap,0.955966815571155,0.972163644032054,0.9559077301171677,0.9558578889986773,0.9742569813379559
GSE146115_RAW,Cancer_Finder,0.9192724952137843,0.9759595107549557,0.9163768592258287,0.9186844505048873,0.9595198756490203
GSE146115_RAW,PreCanCell,0.4990427568602425,0.340784479122733,0.5031707141075892,0.8294114731808757,0.9355175274850711
GSE146115_RAW,SCEVAN,0.4553286534779834,0.2961657117672984,0.45182895489442526,0.8313298715572168,0.9355175274850711
GSE146115_RAW,CopyKAT,0.5,0.6966592427616927,0.5062316977312695,0.5126243849392818,0.9355175274850711
GSE146115_RAW,ikarus,0.24345883854499042,0.0,0.09533440790855925,0.059272206065675716,0.97399441592462
GSE180665,CanCell_Cap,0.8400834450901505,0.8677309225458222,0.8453381074862046,0.8546818927718398,0.8835084989787148
GSE180665,Cancer_Finder,0.8091640590075995,0.9483702389807557,0.7833323206935673,0.786833488093693,0.6855914942051939
GSE180665,PreCanCell,0.5650126657726121,0.5668402281093247,0.6026168931016129,0.6994141892583473,0.6012156197764948
GSE180665,SCEVAN,0.43009983609000146,0.3080765340873909,0.4428233023682842,0.8299603821320021,0.6012156197764948
GSE180665,CopyKAT,0.4283117270153479,0.31363302944566696,0.44357671907793117,0.827541786632347,0.6012156197764948
GSE180665,ikarus,0.5962747727611384,0.7159314146211211,0.6079187296756923,0.620843004600371,0.4910095036534666
