,freq_cancer,freq_non_cancer,pred_label,pred,label
0,0.71394956,0.28605047,Cancer,1,1
1,0.60023415,0.3997659,Cancer,1,1
2,0.79869384,0.2013062,Cancer,1,1
3,0.8610054,0.13899459,Cancer,1,1
4,0.9363932,0.06360685,Cancer,1,1
5,0.97801,0.021989953,Cancer,1,1
6,0.9950629,0.004937149,Cancer,1,1
7,0.8914182,0.10858179,Cancer,1,1
8,0.9835967,0.016403388,Cancer,1,1
9,0.8137579,0.18624204,Cancer,1,1
10,0.90512824,0.09487182,Cancer,1,1
11,0.9929213,0.00707867,Cancer,1,1
12,0.99483794,0.005161995,Cancer,1,1
13,0.7280331,0.27196684,Cancer,1,1
14,0.59473276,0.40526724,Cancer,1,1
15,0.9941287,0.005871291,Cancer,1,1
16,0.6437254,0.35627463,Cancer,1,1
17,0.9728879,0.027112085,Cancer,1,1
18,0.9762566,0.023743361,Cancer,1,1
19,0.33406484,0.66593516,Normal,0,1
20,0.34272718,0.6572729,Normal,0,1
21,0.7834675,0.21653251,Cancer,1,1
22,0.9153317,0.084668286,Cancer,1,1
23,0.9096771,0.090322904,Cancer,1,1
24,0.70845073,0.2915493,Cancer,1,1
25,0.2845228,0.71547717,Normal,0,1
26,0.9019493,0.09805073,Cancer,1,1
27,0.9667827,0.033217292,Cancer,1,1
28,0.6036236,0.39637634,Cancer,1,1
29,0.8754422,0.1245578,Cancer,1,1
30,0.48790693,0.51209307,Normal,0,1
31,0.9565652,0.04343483,Cancer,1,1
32,0.948521,0.05147894,Cancer,1,1
33,0.7823955,0.21760452,Cancer,1,1
34,0.9968341,0.003165913,Cancer,1,1
35,0.26416114,0.7358389,Normal,0,1
36,0.9836802,0.016319886,Cancer,1,1
37,0.8789354,0.1210646,Cancer,1,1
38,0.46060604,0.539394,Normal,0,1
39,0.95056707,0.049432874,Cancer,1,1
40,0.9779368,0.022063233,Cancer,1,1
41,0.9797466,0.020253355,Cancer,1,1
42,0.99463236,0.005367609,Cancer,1,1
43,0.77421385,0.2257861,Cancer,1,1
44,0.71386874,0.28613123,Cancer,1,1
45,0.7802442,0.2197558,Cancer,1,1
46,0.9412877,0.058712285,Cancer,1,1
47,0.9690745,0.03092559,Cancer,1,1
48,0.8915441,0.10845595,Cancer,1,1
49,0.40746346,0.59253657,Normal,0,1
50,0.9800515,0.019948453,Cancer,1,1
51,0.23242326,0.7675767,Normal,0,1
52,0.9810339,0.018966071,Cancer,1,1
53,0.066086054,0.9339139,Normal,0,0
54,0.46018836,0.5398116,Normal,0,1
55,0.004593586,0.9954064,Normal,0,0
56,0.96934724,0.030652756,Cancer,1,1
57,0.9100113,0.089988634,Cancer,1,1
58,0.9396005,0.06039943,Cancer,1,1
59,0.7498241,0.25017583,Cancer,1,1
60,0.9696313,0.030368695,Cancer,1,1
61,0.68049735,0.31950265,Cancer,1,1
62,0.55901694,0.44098303,Cancer,1,1
63,0.16706492,0.83293504,Normal,0,0
64,0.96610594,0.03389409,Cancer,1,1
65,0.42569998,0.5743,Normal,0,1
66,0.8023736,0.19762638,Cancer,1,1
67,0.7448683,0.25513172,Cancer,1,1
68,0.936477,0.06352294,Cancer,1,1
69,0.6495682,0.3504318,Cancer,1,0
70,0.9892909,0.01070916,Cancer,1,1
71,0.7193518,0.28064817,Cancer,1,1
72,0.5138024,0.4861976,Cancer,1,1
73,0.7747989,0.22520103,Cancer,1,1
74,0.4983564,0.50164354,Normal,0,1
75,0.9907607,0.009239358,Cancer,1,1
76,0.7006021,0.29939792,Cancer,1,1
77,0.9731608,0.026839238,Cancer,1,1
78,0.8996465,0.10035354,Cancer,1,1
79,0.7807765,0.21922353,Cancer,1,0
80,0.9490635,0.05093651,Cancer,1,1
81,0.99651515,0.0034847748,Cancer,1,1
82,0.90695477,0.09304521,Cancer,1,1
83,0.9776003,0.022399763,Cancer,1,1
84,0.040602244,0.9593978,Normal,0,0
85,0.9839131,0.016086949,Cancer,1,1
86,0.982071,0.017928977,Cancer,1,1
87,0.89993334,0.100066714,Cancer,1,1
88,0.70980096,0.29019907,Cancer,1,0
89,0.9672636,0.032736447,Cancer,1,1
90,0.9119395,0.08806043,Cancer,1,1
91,0.6365539,0.36344606,Cancer,1,1
92,0.9569418,0.043058213,Cancer,1,1
93,0.07925217,0.92074776,Normal,0,0
94,0.9827726,0.017227333,Cancer,1,1
95,0.97523177,0.024768272,Cancer,1,1
96,0.9428387,0.057161268,Cancer,1,1
97,0.014739856,0.9852601,Normal,0,0
98,0.77950275,0.22049727,Cancer,1,1
99,0.96532136,0.03467865,Cancer,1,1
100,0.99328715,0.006712852,Cancer,1,1
101,0.5772417,0.42275825,Cancer,1,1
102,0.8774512,0.122548796,Cancer,1,1
103,0.768015,0.23198497,Cancer,1,1
104,0.98135984,0.018640144,Cancer,1,1
105,0.41842797,0.58157206,Normal,0,1
106,0.98810613,0.011893866,Cancer,1,1
107,0.80002177,0.19997826,Cancer,1,1
108,0.98980016,0.010199793,Cancer,1,1
109,0.8512815,0.14871845,Cancer,1,1
110,0.9862053,0.01379469,Cancer,1,1
111,0.5791906,0.42080933,Cancer,1,1
112,0.9969457,0.003054308,Cancer,1,1
113,0.95119244,0.048807524,Cancer,1,1
114,0.9749724,0.025027616,Cancer,1,1
115,0.96034527,0.039654743,Cancer,1,1
116,0.9229659,0.07703406,Cancer,1,1
117,0.6662601,0.3337399,Cancer,1,0
118,0.4738082,0.5261918,Normal,0,1
119,0.88767004,0.112329915,Cancer,1,1
120,0.57585764,0.42414233,Cancer,1,1
121,0.9321687,0.0678313,Cancer,1,1
122,0.9796627,0.020337284,Cancer,1,1
123,0.98170507,0.018294983,Cancer,1,1
124,0.93943673,0.060563236,Cancer,1,1
125,0.9123844,0.08761567,Cancer,1,1
126,0.4196622,0.58033776,Normal,0,1
127,0.98709065,0.012909324,Cancer,1,1
128,0.092092015,0.907908,Normal,0,0
129,0.9834736,0.016526394,Cancer,1,1
130,0.9933443,0.0066556428,Cancer,1,1
131,0.96713114,0.032868877,Cancer,1,1
132,0.970777,0.029223006,Cancer,1,1
133,0.59741914,0.40258083,Cancer,1,1
134,0.8131376,0.18686244,Cancer,1,1
135,0.5260597,0.47394028,Cancer,1,1
136,0.56912273,0.43087727,Cancer,1,1
137,0.9438178,0.05618221,Cancer,1,1
138,0.36644804,0.63355196,Normal,0,1
139,0.9129023,0.08709766,Cancer,1,1
140,0.7879637,0.21203625,Cancer,1,1
141,0.98292875,0.017071245,Cancer,1,1
142,0.097783595,0.90221643,Normal,0,0
