,freq_cancer,freq_non_cancer,pred_label,pred,label
0,0.63198745,0.36801252,Cancer,1,1
1,0.47884968,0.52115035,Normal,0,1
2,0.76252997,0.23747008,Cancer,1,1
3,0.835401,0.164599,Cancer,1,1
4,0.833677,0.16632304,Cancer,1,1
5,0.9530133,0.046986714,Cancer,1,1
6,0.987785,0.012215059,Cancer,1,1
7,0.91541994,0.0845801,Cancer,1,1
8,0.95332336,0.046676576,Cancer,1,1
9,0.6513567,0.34864327,Cancer,1,1
10,0.9065281,0.09347189,Cancer,1,1
11,0.9830708,0.016929144,Cancer,1,1
12,0.9793267,0.020673346,Cancer,1,1
13,0.2628349,0.73716503,Normal,0,1
14,0.69877744,0.3012226,Cancer,1,1
15,0.97802395,0.021976022,Cancer,1,1
16,0.3367274,0.66327256,Normal,0,1
17,0.93645287,0.06354717,Cancer,1,1
18,0.8557838,0.14421618,Cancer,1,1
19,0.13582325,0.86417675,Normal,0,1
20,0.29328686,0.70671314,Normal,0,1
21,0.43628708,0.5637129,Normal,0,1
22,0.9211515,0.07884851,Cancer,1,1
23,0.7191775,0.28082246,Cancer,1,1
24,0.69128513,0.30871484,Cancer,1,1
25,0.13118987,0.8688102,Normal,0,1
26,0.7086694,0.29133058,Cancer,1,1
27,0.95378923,0.046210762,Cancer,1,1
28,0.20357883,0.7964212,Normal,0,1
29,0.80042917,0.1995708,Cancer,1,1
30,0.42718217,0.57281786,Normal,0,1
31,0.8415144,0.1584856,Cancer,1,1
32,0.9285859,0.07141417,Cancer,1,1
33,0.6996265,0.3003735,Cancer,1,1
34,0.992014,0.0079859765,Cancer,1,1
35,0.1775966,0.8224034,Normal,0,1
36,0.9501557,0.04984437,Cancer,1,1
37,0.8784189,0.121581115,Cancer,1,1
38,0.22476922,0.77523077,Normal,0,1
39,0.89221007,0.10778996,Cancer,1,1
40,0.91970134,0.08029863,Cancer,1,1
41,0.9676778,0.032322247,Cancer,1,1
42,0.98421717,0.015782768,Cancer,1,1
43,0.40791965,0.59208035,Normal,0,1
44,0.3469136,0.6530864,Normal,0,1
45,0.7259343,0.27406567,Cancer,1,1
46,0.902003,0.09799702,Cancer,1,1
47,0.9282024,0.07179761,Cancer,1,1
48,0.7423687,0.25763133,Cancer,1,1
49,0.18516375,0.81483626,Normal,0,1
50,0.9574117,0.04258829,Cancer,1,1
51,0.12530066,0.87469935,Normal,0,1
52,0.9667196,0.033280343,Cancer,1,1
53,0.0036716894,0.9963283,Normal,0,0
54,0.28500897,0.71499103,Normal,0,1
55,0.00040025686,0.99959975,Normal,0,0
56,0.95282334,0.04717662,Cancer,1,1
57,0.8407695,0.15923053,Cancer,1,1
58,0.8326566,0.16734341,Cancer,1,1
59,0.653292,0.34670803,Cancer,1,1
60,0.9492084,0.050791617,Cancer,1,1
61,0.303315,0.69668496,Normal,0,1
62,0.43125138,0.56874865,Normal,0,1
63,0.015183986,0.9848161,Normal,0,0
64,0.94326484,0.056735203,Cancer,1,1
65,0.30905977,0.69094026,Normal,0,1
66,0.582229,0.417771,Cancer,1,1
67,0.72087955,0.27912048,Cancer,1,1
68,0.8672183,0.13278171,Cancer,1,1
69,0.1988901,0.8011099,Normal,0,0
70,0.9759427,0.024057277,Cancer,1,1
71,0.51530695,0.48469305,Cancer,1,1
72,0.20944107,0.79055893,Normal,0,1
73,0.5177223,0.4822777,Cancer,1,1
74,0.61949474,0.38050526,Cancer,1,1
75,0.98166245,0.018337544,Cancer,1,1
76,0.51671803,0.48328197,Cancer,1,1
77,0.9586724,0.04132755,Cancer,1,1
78,0.78781945,0.21218051,Cancer,1,1
79,0.2869806,0.71301943,Normal,0,0
80,0.9591995,0.040800516,Cancer,1,1
81,0.99168736,0.008312672,Cancer,1,1
82,0.7637751,0.23622482,Cancer,1,1
83,0.9567029,0.043297086,Cancer,1,1
84,0.009862496,0.99013746,Normal,0,0
85,0.977136,0.022863954,Cancer,1,1
86,0.96292657,0.03707347,Cancer,1,1
87,0.78624755,0.21375248,Cancer,1,1
88,0.19930622,0.8006938,Normal,0,0
89,0.9213565,0.07864352,Cancer,1,1
90,0.84977615,0.15022379,Cancer,1,1
91,0.22794618,0.77205384,Normal,0,1
92,0.91491085,0.08508911,Cancer,1,1
93,0.013004812,0.98699516,Normal,0,0
94,0.98329264,0.016707398,Cancer,1,1
95,0.94849616,0.051503815,Cancer,1,1
96,0.9191568,0.08084322,Cancer,1,1
97,0.0029052484,0.99709475,Normal,0,0
98,0.44633636,0.5536637,Normal,0,1
99,0.94540787,0.054592073,Cancer,1,1
100,0.98533916,0.014660831,Cancer,1,1
101,0.50299823,0.49700174,Cancer,1,1
102,0.8525831,0.14741689,Cancer,1,1
103,0.5146614,0.48533857,Cancer,1,1
104,0.9820541,0.017945893,Cancer,1,1
105,0.46417895,0.535821,Normal,0,1
106,0.97150844,0.02849154,Cancer,1,1
107,0.737773,0.262227,Cancer,1,1
108,0.9707309,0.02926909,Cancer,1,1
109,0.6412506,0.35874942,Cancer,1,1
110,0.95652103,0.043479033,Cancer,1,1
111,0.64477384,0.35522622,Cancer,1,1
112,0.9898217,0.010178282,Cancer,1,1
113,0.8692127,0.13078737,Cancer,1,1
114,0.9765385,0.023461567,Cancer,1,1
115,0.92135113,0.07864892,Cancer,1,1
116,0.88927627,0.11072368,Cancer,1,1
117,0.258018,0.741982,Normal,0,0
118,0.14457482,0.8554252,Normal,0,1
119,0.7885125,0.21148746,Cancer,1,1
120,0.56232196,0.43767798,Cancer,1,1
121,0.82192487,0.17807508,Cancer,1,1
122,0.94655097,0.053449024,Cancer,1,1
123,0.96285063,0.037149355,Cancer,1,1
124,0.72646713,0.2735329,Cancer,1,1
125,0.95818,0.04182,Cancer,1,1
126,0.19946896,0.800531,Normal,0,1
127,0.9592521,0.04074782,Cancer,1,1
128,0.004299445,0.99570054,Normal,0,0
129,0.9652231,0.034776874,Cancer,1,1
130,0.9783644,0.02163558,Cancer,1,1
131,0.9336075,0.06639252,Cancer,1,1
132,0.95419556,0.04580448,Cancer,1,1
133,0.3463464,0.6536536,Normal,0,1
134,0.877313,0.12268703,Cancer,1,1
135,0.24613973,0.7538603,Normal,0,1
136,0.3020458,0.69795424,Normal,0,1
137,0.85087395,0.1491261,Cancer,1,1
138,0.30514026,0.69485974,Normal,0,1
139,0.85801226,0.14198777,Cancer,1,1
140,0.6282441,0.37175593,Cancer,1,1
141,0.97028226,0.029717814,Cancer,1,1
142,0.008156102,0.9918439,Normal,0,0
143,0.7847225,0.21527748,Cancer,1,1
144,0.6917479,0.30825213,Cancer,1,1
145,0.85778016,0.14221987,Cancer,1,1
146,0.20870829,0.79129165,Normal,0,1
147,0.7755789,0.22442107,Cancer,1,1
148,0.9664505,0.03354951,Cancer,1,1
149,0.6396611,0.36033893,Cancer,1,1
150,0.8638793,0.13612063,Cancer,1,1
151,0.374585,0.625415,Normal,0,1
152,0.7551728,0.24482724,Cancer,1,1
153,0.01600788,0.98399216,Normal,0,0
154,0.9880485,0.011951431,Cancer,1,1
155,0.98105294,0.018947024,Cancer,1,1
156,0.92316484,0.07683514,Cancer,1,1
157,0.24382584,0.7561742,Normal,0,1
158,0.9486754,0.051324658,Cancer,1,1
159,0.9889627,0.011037358,Cancer,1,1
160,0.5754681,0.42453188,Cancer,1,1
161,0.8025651,0.19743486,Cancer,1,1
162,0.8937191,0.106280975,Cancer,1,1
163,0.90199476,0.098005235,Cancer,1,1
164,0.98974085,0.010259137,Cancer,1,1
165,0.5989001,0.40109995,Cancer,1,1
166,0.9441155,0.05588448,Cancer,1,1
167,0.9056435,0.09435653,Cancer,1,1
168,0.62858623,0.3714137,Cancer,1,1
169,0.9933321,0.0066679297,Cancer,1,1
170,0.66355556,0.3364445,Cancer,1,1
171,0.468125,0.531875,Normal,0,1
172,0.9577728,0.04222717,Cancer,1,1
173,0.90990806,0.090091914,Cancer,1,1
174,0.16952682,0.8304732,Normal,0,1
175,0.8869708,0.11302918,Cancer,1,1
176,0.45330486,0.5466952,Normal,0,1
177,0.79198503,0.20801497,Cancer,1,1
178,0.94593483,0.054065105,Cancer,1,1
179,0.52069277,0.47930726,Cancer,1,1
180,0.83579266,0.16420728,Cancer,1,1
181,0.9929844,0.0070155943,Cancer,1,1
182,0.9688991,0.031100966,Cancer,1,1
183,0.27831653,0.72168344,Normal,0,1
184,0.69691646,0.30308357,Cancer,1,1
185,0.8510339,0.14896609,Cancer,1,1
186,0.64365244,0.3563476,Cancer,1,1
187,0.08107533,0.9189247,Normal,0,1
188,0.91196156,0.08803843,Cancer,1,1
189,0.8610737,0.13892631,Cancer,1,1
190,0.47924846,0.52075154,Normal,0,1
191,0.95601696,0.043983005,Cancer,1,1
192,0.6699029,0.3300971,Cancer,1,1
193,0.5798507,0.42014933,Cancer,1,1
194,0.4987556,0.50124437,Normal,0,1
195,0.9540555,0.045944504,Cancer,1,1
196,0.3860069,0.6139931,Normal,0,1
