Unnamed: 0,freq_cancer,freq_non_cancer,pred_label,pred,label
0,0.8535241,0.14647596,Cancer,1,1
1,0.90543616,0.09456381,Cancer,1,1
2,0.9540517,0.04594829,Cancer,1,1
3,0.96233714,0.03766292,Cancer,1,1
4,0.9931727,0.006827281,Cancer,1,1
5,0.99743396,0.002566017,Cancer,1,1
6,0.99689686,0.0031031335,Cancer,1,1
7,0.9814152,0.018584775,Cancer,1,1
8,0.99240535,0.0075946446,Cancer,1,1
9,0.94144183,0.058558226,Cancer,1,1
10,0.9458333,0.05416664,Cancer,1,1
11,0.99786925,0.0021307261,Cancer,1,1
12,0.99989057,0.00010942466,Cancer,1,1
13,0.94443864,0.05556136,Cancer,1,1
14,0.880136,0.11986395,Cancer,1,1
15,0.99105144,0.00894864,Cancer,1,1
16,0.8105968,0.18940316,Cancer,1,1
17,0.9969388,0.0030612,Cancer,1,1
18,0.9939965,0.0060035074,Cancer,1,1
19,0.7606249,0.23937513,Cancer,1,1
20,0.6868529,0.3131472,Cancer,1,1
21,0.87016207,0.12983792,Cancer,1,1
22,0.8317036,0.16829643,Cancer,1,1
23,0.9540837,0.04591638,Cancer,1,1
24,0.8184459,0.18155414,Cancer,1,1
25,0.69720215,0.30279788,Cancer,1,1
26,0.8909695,0.10903047,Cancer,1,1
27,0.93970746,0.060292482,Cancer,1,1
28,0.8041064,0.19589353,Cancer,1,1
29,0.89736927,0.10263072,Cancer,1,1
30,0.90308905,0.09691098,Cancer,1,1
31,0.9999013,9.868506e-05,Cancer,1,1
32,0.9514492,0.048550848,Cancer,1,1
33,0.82252586,0.17747414,Cancer,1,1
34,0.99995816,4.178977e-05,Cancer,1,1
35,0.8003133,0.1996867,Cancer,1,1
36,0.9970618,0.0029381767,Cancer,1,1
37,0.8483949,0.15160507,Cancer,1,1
38,0.68301153,0.31698847,Cancer,1,1
39,0.9988306,0.0011693336,Cancer,1,1
40,0.9959372,0.0040627723,Cancer,1,1
41,0.9997532,0.0002468553,Cancer,1,1
42,0.9998323,0.00016769893,Cancer,1,1
43,0.98555505,0.014444906,Cancer,1,1
44,0.8160569,0.18394306,Cancer,1,1
45,0.93206084,0.067939214,Cancer,1,1
46,0.8510744,0.14892562,Cancer,1,1
47,0.92440027,0.07559968,Cancer,1,1
48,0.9948525,0.005147507,Cancer,1,1
49,0.85423505,0.1457649,Cancer,1,1
50,0.9999294,7.054321e-05,Cancer,1,1
51,0.9787758,0.02122414,Cancer,1,1
52,0.9994973,0.00050265284,Cancer,1,1
53,0.02459263,0.9754074,Normal,0,0
54,0.89086866,0.10913136,Cancer,1,1
55,0.00011818779,0.99988174,Normal,0,0
56,0.99367946,0.006320624,Cancer,1,1
57,0.93605286,0.06394713,Cancer,1,1
58,0.9985832,0.0014167825,Cancer,1,1
59,0.991377,0.008623021,Cancer,1,1
60,0.9992046,0.00079542666,Cancer,1,1
61,0.8468821,0.15311792,Cancer,1,1
62,0.98708344,0.01291657,Cancer,1,1
63,0.0047208015,0.9952792,Normal,0,0
64,0.9905482,0.009451813,Cancer,1,1
65,0.7092198,0.29078016,Cancer,1,1
66,0.91105074,0.08894926,Cancer,1,1
67,0.9143851,0.085614935,Cancer,1,1
68,0.98992354,0.01007646,Cancer,1,1
69,0.8817398,0.11826015,Cancer,1,0
70,0.9994942,0.0005057701,Cancer,1,1
71,0.9970265,0.002973467,Cancer,1,1
72,0.8864928,0.113507286,Cancer,1,1
73,0.8017807,0.19821934,Cancer,1,1
74,0.8135398,0.18646026,Cancer,1,1
75,0.91092074,0.08907929,Cancer,1,1
76,0.98112893,0.018871045,Cancer,1,1
77,0.9971341,0.0028658991,Cancer,1,1
78,0.778688,0.22131199,Cancer,1,1
79,0.1575941,0.8424059,Normal,0,0
80,0.99846315,0.0015368968,Cancer,1,1
81,0.99925226,0.0007477244,Cancer,1,1
82,0.5348343,0.46516567,Cancer,1,1
83,0.99993324,6.6728484e-05,Cancer,1,1
84,0.4708108,0.52918917,Normal,0,0
85,0.997666,0.002334014,Cancer,1,1
86,0.99982196,0.00017811958,Cancer,1,1
87,0.9900889,0.009911156,Cancer,1,1
88,0.4676086,0.53239137,Normal,0,0
89,0.99967134,0.0003286977,Cancer,1,1
90,0.9984773,0.0015227732,Cancer,1,1
91,0.8153268,0.18467319,Cancer,1,1
92,0.9997019,0.00029810535,Cancer,1,1
93,0.004068997,0.99593097,Normal,0,0
94,0.99463993,0.005360133,Cancer,1,1
95,0.9993905,0.0006094664,Cancer,1,1
96,0.9818778,0.018122217,Cancer,1,1
97,0.014027957,0.98597205,Normal,0,0
98,0.9762216,0.023778414,Cancer,1,1
99,0.9883206,0.01167944,Cancer,1,1
